#           ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   0.0018017843  7.8320182e-05   0.0015983606  6.9576654e-05   0.0020109979   8.755817e-05
              5   0.0053985621  0.00013561872    0.004794227  0.00012057204   0.0060162026  0.00015141504
             10   0.0085551186   0.0001705276   0.0075893243  0.00015147311    0.009545943  0.00019065111
             15    0.012008105  0.00020189137    0.010647188  0.00017919592    0.013401045  0.00022577663
             20    0.015004109  0.00022560223     0.01329777  0.00020018901    0.016758205   0.0002524648
             25    0.017863449  0.00024643445    0.015860558  0.00021886444    0.019907255  0.00027562445
             30    0.019740331  0.00025877448    0.017515155  0.00022980683    0.022019409  0.00028951807
             35    0.022971298  0.00019608795    0.020379202  0.00017418534    0.025619832  0.00021956799
             45    0.026546927  0.00017060123    0.023532747  0.00015142249    0.029642949  0.00019103434
             60    0.027696553  0.00014971226    0.024545034  0.00013281238     0.03093417  0.00016773308
             80    0.026152096  0.00014573945     0.02319391  0.00012940913    0.029175634  0.00016315206
            100    0.022628407  0.00013611111    0.020064159  0.00012084318    0.025242104  0.00015241136
            120    0.018420499  0.00012338077    0.016344088   0.0001096191    0.020528017  0.00013796708
            140    0.013748211   8.673573e-05    0.012206184  7.7089467e-05    0.015301822  9.7098249e-05
            170   0.0095550735  7.2796796e-05   0.0084783397  6.4662796e-05    0.010638282  8.1476686e-05
            200   0.0057337771  4.3658909e-05   0.0050899842  3.8811031e-05    0.006374648  4.8954446e-05
            250   0.0022853214  1.9539888e-05   0.0020289427  1.7356352e-05   0.0025380085  2.1898151e-05
            350  0.00068519838  1.0788519e-05  0.00060788235  9.5819436e-06  0.00076050959  1.2084769e-05
            450  2.7091202e-06  5.8619791e-08  2.3971185e-06  5.1833259e-08  3.0083391e-06  6.6084897e-08
          14000  2.7091202e-06  5.8619791e-08  2.3971185e-06  5.1833259e-08  3.0083391e-06  6.6084897e-08
