#            yH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.2961506    0.018911953      2.9171576    0.016758081      3.6847993    0.021230043
           0.15      3.2297754    0.018730672      2.8605983    0.016606252      3.6075281    0.021003464
            0.3       3.121194    0.018425169      2.7638074    0.016332536       3.486543     0.02065836
           0.45      2.9298629    0.017881934      2.5951468    0.015851957      3.2716386    0.020078073
            0.6      2.7422042    0.017327118      2.4310811    0.015386605       3.058912    0.019426183
           0.75      2.4539555    0.016433161      2.1761655    0.014588127       2.736458    0.018392526
            0.9      2.0268678    0.010420176      1.7993906   0.0092601834      2.2573712     0.01166867
            1.2      1.3559305   0.0074085636      1.2052673   0.0065932513      1.5074858   0.0082759696
            1.6     0.69000267   0.0053596254     0.61429914   0.0047768751     0.76534202   0.0059700463
              2     0.25064637    0.002907611     0.22352842   0.0025964186     0.27717795    0.003229771
            2.5     0.25064637    0.002907611     0.22352842   0.0025964186     0.27717795    0.003229771
