# deta2l-mcut80        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.76608823   0.0063572658     0.75059968   0.0062290667      0.7884168   0.0065440239
     0.31415927     0.75304809   0.0063080315     0.73825584    0.006184778     0.77465269   0.0064899096
     0.62831853     0.73786189     0.00624697     0.72382144   0.0061286584     0.75853391     0.00642285
      0.9424778     0.66257309   0.0059290357     0.65039805   0.0058205458     0.68064413   0.0060921361
      1.2566371     0.53321014   0.0053345109     0.52366569   0.0052395864     0.54750583   0.0054780548
      1.5707963     0.40774356   0.0046744691     0.40042446   0.0045907425     0.41867999     0.00480079
      1.8849556     0.30390725   0.0040451367     0.29844892   0.0039727685     0.31208904   0.0041546288
      2.1991149     0.22424451    0.003478803     0.22014196   0.0034153029     0.23038121   0.0035749078
      2.5132741      0.1868063   0.0031829176     0.18327138   0.0031231415     0.19211264   0.0032737659
      2.8274334     0.17705981   0.0030976515     0.17376496   0.0030402712     0.18205909   0.0031858076
      3.1415927     0.17705981   0.0030976515     0.17376496   0.0030402712     0.18205909   0.0031858076
