# deta2l-nomcut        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.9687798   0.0071300684     0.94768324    0.006975491     0.99837849   0.0073491014
     0.31415927     0.99243976   0.0072190344      0.9711318   0.0070652799      1.0225662   0.0074387528
     0.62831853      1.0441924   0.0074008682      1.0222905   0.0072468171      1.0750476   0.0076198761
      0.9424778      1.1251362   0.0076753509      1.1022764    0.007520442      1.1570791   0.0078944046
      1.2566371       1.225154    0.008006868       1.201109   0.0078514256      1.2582996   0.0082235556
      1.5707963      1.3665275   0.0084364806      1.3407702   0.0082785893      1.4019385   0.0086557293
      1.8849556      1.5270482   0.0089098415      1.4997343   0.0087525667      1.5644262   0.0091276584
      2.1991149      1.6571024   0.0092678259      1.6287595   0.0091112398      1.6960456   0.0094855391
      2.5132741      1.7673822   0.0095600888      1.7383897   0.0094052567      1.8074129   0.0097763212
      2.8274334      1.8457281    0.009760939      1.8162979   0.0096070531      1.8865626   0.0099770489
      3.1415927      1.8457281    0.009760939      1.8162979   0.0096070531      1.8865626   0.0099770489
