#deta2l-mcut200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.18614417   0.0032038117     0.16251235   0.0028003909     0.21220745   0.0036623248
     0.31415927     0.22016148   0.0034831989     0.19252206   0.0030485987     0.25047797   0.0039740198
     0.62831853     0.28162919   0.0039328792     0.24702605   0.0034537099     0.31898477   0.0044669094
      0.9424778     0.42776933   0.0048345747     0.37619808    0.004257134     0.48260381   0.0054700618
      1.2566371     0.63712852   0.0058807049     0.56173281   0.0051884624     0.71617381   0.0066385727
      1.5707963     0.86455451   0.0068230692      0.7647814   0.0060418128     0.96738659   0.0076590541
      1.8849556      1.0299682    0.007428874     0.91404649   0.0066019649       1.147087   0.0083236779
      2.1991149      1.1061201   0.0076862609      0.9828574     0.00683577      1.2300919   0.0085834975
      2.5132741      1.1080577    0.007693073     0.98527055   0.0068470274      1.2312852   0.0085819521
      2.8274334      1.1152833   0.0077147216     0.99288945   0.0068756797       1.237676   0.0085899864
      3.1415927      1.1152833   0.0077147216     0.99288945   0.0068756797       1.237676   0.0085899864
