# deta2l-ptHcut        central        num_err    min (scale)        num_err    max (scale)        num_err
# 100
              0     0.49636491   0.0051987448     0.43619806   0.0045734639     0.56149077   0.0058915224
     0.31415927     0.50865599   0.0052639967     0.44702736   0.0046305361      0.5752209    0.005964692
     0.62831853     0.53637332   0.0054021835     0.47209916   0.0047588001     0.60541029   0.0061120685
      0.9424778     0.56873459   0.0055586201     0.50092898   0.0049008812     0.64102517   0.0062768852
      1.2566371       0.622333   0.0058139873     0.54909387   0.0051331169     0.69959092   0.0065544629
      1.5707963     0.68550714   0.0060912149     0.60584374   0.0053886668     0.76867204    0.006846517
      1.8849556     0.76449297   0.0064275057     0.67668264   0.0056937621       0.855124   0.0072172443
      2.1991149     0.81710743   0.0066392526     0.72461015   0.0058940059     0.91155644   0.0074292141
      2.5132741     0.87685953   0.0068725927     0.77965257   0.0061167545     0.97453333   0.0076779316
      2.8274334      0.9283156   0.0070658099     0.82587754   0.0062903511       1.030916   0.0078790297
      3.1415927      0.9283156   0.0070658099     0.82587754   0.0062903511       1.030916   0.0078790297
