#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      12.195266    0.046977074      10.778168    0.041501037      13.635594     0.05297263
            0.2      34.731446    0.078639339      30.709298     0.06949313      38.815194    0.088637928
            0.4      53.327831    0.096751947      47.155094    0.085557175      59.605764     0.10893449
            0.6      67.793939     0.10847403      59.978579    0.096113616      75.737837     0.12231187
            0.8      78.865832      0.1165069      69.793539     0.10316292      88.099702     0.13122199
              1      87.388099     0.12231701      77.366569     0.11022111      97.574354      0.1508816
            1.2      95.107312     0.12711647      84.184626     0.11259831      106.26363     0.14282887
            1.4      102.17303        0.13143      90.451507       0.116435       114.1608     0.14773578
            1.6      109.87303     0.13593277      97.287287     0.12046948      122.75545     0.15267268
            1.8      118.72451      0.1409419      105.16119     0.12503973      132.61219     0.15834685
              2      129.00338     0.14646278      114.28746     0.12988978      144.08731     0.16436957
            2.2      142.48415     0.15335359      126.29117      0.1361066      159.06317     0.17212226
            2.4      158.63364     0.16106749      140.70933     0.14330499      176.93346       0.181364
            2.6      178.92211     0.17000296       158.8103      0.1510994      199.40448     0.19059966
            2.8      201.16595     0.17888673      178.72497     0.15910816      223.90275      0.2004649
              3      202.39484     0.17904702      179.91765     0.15918561      225.06871     0.20072002
            3.2      98.199228     0.12836346      86.807249     0.11343285      110.00128     0.14505963
            3.4       54.87745    0.097167657      48.266865    0.085430783      61.878617     0.11059104
            3.6       34.20866    0.077291299      29.960856    0.067610762      38.786058    0.088463935
            3.8      22.142877    0.062469168      19.331962    0.054452512      25.210335    0.071795385
              4      14.734427    0.051143159      12.823401    0.044422316       16.84561    0.058993029
            4.2      9.9041929    0.042039026      8.6028063    0.036434506       11.35158    0.048657029
            4.4      6.8215148    0.035024196      5.9063851    0.030234459       7.851077    0.040726265
            4.6      4.5851679    0.028742992      3.9665079    0.024787788      5.2835609    0.033470749
            4.8      3.2014313    0.024053602      2.7641081    0.020707173      3.6977559    0.028112086
              5      3.2014313    0.024053602      2.7641081    0.020707173      3.6977559    0.028112086
