#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.4855637    0.024931993      3.0916368    0.022129279      3.8853134    0.027950518
           -3.8      5.1235549    0.030211148      4.5481472    0.026839994      5.7061898    0.033799041
           -3.6      7.2636364    0.035952919      6.4547441    0.031977648      8.0782765    0.040281365
           -3.4      10.237104    0.042627908      9.0896064    0.037877996      11.398924    0.047707306
           -3.2      14.284509    0.050302839      12.682805     0.04469777      15.908519    0.056284231
             -3      19.194197    0.058247133      17.048274    0.051772668       21.36764    0.065249202
           -2.8      25.326575    0.066785309      22.486382    0.059343968      28.211391    0.074846137
           -2.6      32.499817     0.07551671      28.853643    0.067093335      36.205012     0.08463382
           -2.4      40.368692    0.083988389      35.840185    0.074741151      44.973902    0.094604884
           -2.2      49.086278    0.092371352      43.560427    0.082056778      54.720604     0.10358625
             -2      57.970744     0.10013649      51.413394    0.088883324      64.673089     0.11242802
           -1.8      66.186368     0.10673689      58.672257    0.094672103      73.877976     0.11982601
           -1.6      73.382449     0.11215136      65.013329    0.099545724      81.967382     0.12629809
           -1.4      79.349361     0.11639438      70.253703     0.10310924      88.698303     0.13082823
           -1.2      83.922648     0.11953235        74.2529     0.10578947      93.877548     0.13452867
             -1      86.790661     0.12142282      76.768691     0.10744624      97.108278     0.13681343
           -0.8      88.119381     0.12227775       77.90362     0.10848044      98.637933     0.13891858
           -0.6      88.662987     0.12265308      78.357381     0.10844403      99.283641     0.13836133
           -0.4      88.525802     0.12249221      78.197155     0.10827566      99.185058     0.13830026
           -0.2      88.045321     0.12219475      77.784931     0.10805686      98.617377     0.13804413
              0      88.169052     0.12226141      77.890104     0.10805718      98.766782     0.13810753
            0.2      88.283123     0.12233807       77.99701     0.10813001      98.889268     0.13800208
            0.4      88.223615     0.12230422      77.965028     0.10811374      98.797737     0.13787573
            0.6      87.948558     0.12214926      77.761389     0.10805825      98.437676     0.13773874
            0.8      86.546138      0.1212312      76.543566      0.1072603      96.842405     0.13656995
              1      83.855127     0.11942354      74.207299     0.10571742      93.775579      0.1344306
            1.2      79.455778     0.11639412      70.372234     0.10320419      88.771437     0.13104786
            1.4      73.187701     0.11192485      64.858473    0.099247074      81.716059     0.12576956
            1.6      65.963833      0.1064762       58.48718     0.09448629      73.607092     0.11953882
            1.8      57.702968     0.09982452       51.18988    0.088608369      64.349747      0.1119377
              2      48.914095     0.09213141      43.397463     0.08179489      54.542346     0.10324659
            2.2      40.393494    0.083930938      35.860589    0.074557419      45.002747    0.093992489
            2.4      32.435892    0.075372356      28.809368    0.066995721      36.112191    0.084357137
            2.6      25.274277     0.06667347      22.448015    0.059254306      28.138667    0.074606912
            2.8      19.113947    0.058068473      16.980168    0.051628793      21.272023    0.065038481
              3      14.138724     0.05006326      12.560946     0.04452672      15.731284     0.05603432
            3.2      10.271863    0.042682546      9.1250051    0.037952705      11.430262    0.047765326
            3.4      7.2815469    0.036316873      6.4873668      0.0378577      8.0566164      0.0732005
            3.6      5.0552725    0.029991716      4.4897913    0.026662167      5.6265567    0.033555095
            3.8      3.5403201    0.025112849      3.1424615    0.022306287      3.9432108    0.028115193
              4      3.5403201    0.025112849      3.1424615    0.022306287      3.9432108    0.028115193
