#       etatbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.3393288    0.024119698      2.9780068    0.021478617      3.7022282    0.027018844
           -3.8      4.7792938    0.028858035      4.2586993    0.025689671      5.3043817    0.032335163
           -3.6      6.9539881    0.034853141      6.1860937    0.030992179       7.734304     0.03907351
           -3.4      9.9302756    0.041716537       8.829639    0.037072013      11.053002    0.046805668
           -3.2      13.898224    0.049370542      12.338685    0.043824345      15.502256    0.055451347
             -3      18.814287    0.057409957      16.694265    0.050935585      20.996969    0.064531009
           -2.8      25.083792    0.066210045      22.242173    0.058740668      28.016256    0.074426774
           -2.6      32.369316     0.07514103      28.691209    0.066635198      36.166966    0.084450265
           -2.4      40.608277    0.084056075      35.967237    0.074489037      45.415097    0.094547967
           -2.2      49.511416    0.092610249      43.846629    0.082080507      55.374056     0.10416962
             -2      58.289514     0.10028131      51.597179    0.088823347      65.214396     0.11286247
           -1.8      66.526174     0.10696617      58.886583    0.094756977       74.41719     0.12043098
           -1.6      74.080117      0.1126388      65.591093    0.099981163      82.812498      0.1272479
           -1.4      79.989645     0.11687023      70.798263     0.10350912      89.441653     0.13140657
           -1.2      84.239337     0.11981582      74.549907     0.10611947      94.184214     0.13483985
             -1      86.869972     0.12157736      76.885404     0.10772708      97.079804     0.13690455
           -0.8      88.193427      0.1224819      78.054934      0.1085132      98.536102     0.13797136
           -0.6      88.213643     0.12250063      78.084468     0.10854493       98.52182     0.13777549
           -0.4      87.842234        0.12223      77.736596     0.10822606      98.123266     0.13737494
           -0.2      87.576171     0.12204986      77.520513     0.10809347      97.784618     0.13726419
              0      87.623007     0.12207257       77.54953     0.10811297      97.856663     0.13717456
            0.2      87.748927     0.12216387      77.675932     0.10820894      97.986835     0.13736871
            0.4       88.28943     0.12251946      78.147234     0.10884136      98.613857     0.13877118
            0.6      88.052563     0.12236867       77.92522     0.10835975      98.390232     0.13760733
            0.8      87.106156     0.12171867      77.098977     0.10783926       97.33825     0.13690525
              1      84.304408     0.11986565       74.61107     0.10616078      94.246356     0.13485857
            1.2      80.172715     0.11700274      70.943898     0.10359461      89.672986     0.13162786
            1.4      73.901047     0.11251328      65.394475    0.099612551      82.680017     0.12659301
            1.6      66.833368     0.10719685       59.15394    0.094939465      74.768144     0.12062561
            1.8      58.196332     0.10025327      51.506921    0.088770355      65.124851     0.11279817
              2      49.359265    0.092526196      43.707612    0.081998549      55.209097     0.10420907
            2.2      40.556028    0.084052798      35.908568    0.074470353        45.3765    0.094655709
            2.4      32.415522    0.075274648      28.706249     0.06668965      36.267438    0.084798061
            2.6      25.063605    0.066300654      22.201603     0.05875078      28.032726    0.074658115
            2.8      18.987914    0.057977379      16.864745    0.055148887      21.150809    0.089295517
              3      13.889918    0.049440194      12.321552    0.043858994      15.509807    0.055607155
            3.2      10.001011    0.041969888      8.8764942    0.037270646      11.160104    0.047458732
            3.4      6.9771326    0.035066043      6.1969895    0.031108206      7.7782346    0.039476775
            3.6      4.8541386    0.029247476      4.3193111    0.026005974        5.39827    0.032868306
            3.8      3.3449165    0.024232548      2.9771303    0.021531905      3.7195129    0.027220514
              4      3.3449165    0.024232548      2.9771303    0.021531905      3.7195129    0.027220514
