# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
              0      3.5983462   0.0034092174       3.300371   0.0031272509      3.8604253   0.0036789293
             10      5.0995554   0.0039803944       4.570641   0.0035722287       5.621133   0.0044245597
             20      4.4351863   0.0037489903      3.9405957   0.0033560219      4.9361589   0.0043747397
             30      3.6425862   0.0034335399      3.2232941   0.0030405222      4.0723074   0.0038646682
             40      2.9939109   0.0031403182      2.6432661   0.0027742098      3.3554184   0.0035440551
             50      2.4747705   0.0028746846       2.181691   0.0025360385      2.7780652    0.003249283
             60      2.0693474   0.0026428208      1.8219359   0.0023286646      2.3262897   0.0029898261
             70      1.7542561   0.0024430133      1.5428041   0.0021492977      1.9745711     0.00276825
             80      1.4982741   0.0022650412       1.316678   0.0019922489      1.6878429   0.0025699327
             90      1.2890326   0.0021066257      1.1316461   0.0018499674      1.4539118   0.0023893701
            100      1.1238299   0.0019709763     0.98608439   0.0017299531      1.2683558   0.0022384909
            110     0.97997924   0.0018436298     0.85952797   0.0016179085      1.1065242    0.002095788
            120     0.86761786   0.0017372977     0.76027906   0.0015229496     0.98080091   0.0019750341
            130     0.77057108   0.0016392496     0.67500489    0.001436451     0.87140859   0.0018655197
            140     0.68415524   0.0015459073     0.59888152   0.0013536545     0.77437817   0.0017596067
            150     0.61028261   0.0014614955     0.53426885   0.0012803573      0.6906276   0.0016657885
            160     0.54785626   0.0013861678     0.47937497   0.0012130519      0.6204074   0.0015790544
            170     0.49819287   0.0013222575     0.43577448   0.0011567892      0.5643841   0.0015067061
            180     0.44853912   0.0012556459     0.39213674   0.0010991058     0.50849881   0.0014390904
            190     0.40658435   0.0011960549     0.35551549   0.0010458302     0.46081945   0.0013649241
            200     0.36974725    0.001141307      0.3231735   0.0009985377     0.41931886   0.0013055547
            210     0.33623988   0.0010884071     0.29385138  0.00095142113     0.38136294   0.0012431102
            220     0.30696842   0.0010402673     0.26817672  0.00090883732     0.34833082   0.0011873797
            230     0.28151654  0.00099624687     0.24591103  0.00087066236     0.31952725   0.0011364631
            240      0.2567799  0.00095190716     0.22433889  0.00083188022     0.29136994   0.0010865354
            250     0.23598639   0.0009127217     0.20612223  0.00079765411      0.2678552   0.0010433915
