#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0068450652   0.0010722775   0.0061490782  0.00096275302   0.0074188305   0.0011718597
           -3.8    0.030381527   0.0022786958    0.027508196   0.0020610161    0.032695053   0.0024710832
           -3.6     0.12461734   0.0046771925     0.11263496   0.0041949699     0.13421827   0.0051968097
           -3.4     0.43366922   0.0086682861     0.38865643   0.0077767075     0.47410725   0.0095459739
           -3.2      1.1184092    0.013972561      1.0015103    0.012511906      1.2249493    0.015448976
             -3      2.6392981     0.02148022      2.3578442     0.01920288      2.9043981    0.023817425
           -2.8      5.2869178    0.030449883      4.7268384    0.027249489      5.8164326     0.03378542
           -2.6      9.6283667     0.04111258      8.5942702    0.036737179      10.625934    0.045816344
           -2.4      15.824629    0.052702081      14.116351    0.047052777      17.490468    0.058709507
           -2.2      24.254051    0.065164795      21.613891    0.058129465      26.858426     0.07271371
             -2       34.87633    0.077980477      31.053346    0.069652346      38.680245    0.087738197
           -1.8      47.503662    0.090769833      42.241042    0.080770337      52.791996     0.10150646
           -1.6       61.75448     0.10313977      54.845555    0.091761899      68.750593     0.11577985
           -1.4      77.043706     0.11478831      68.332396     0.10188366      85.927655     0.12885549
           -1.2      92.569519     0.12531227      81.996466     0.11105875      103.42324     0.14078765
             -1      107.40883     0.13451114      95.048013     0.11910379      120.14649     0.15147068
           -0.8      120.83211     0.14214942      106.83217     0.12573445      135.30797     0.16018538
           -0.6      131.47767     0.14790207      116.17616     0.13102803       147.3195     0.16771803
           -0.4      139.41063     0.15198728      123.10777     0.13427896      156.33001      0.1715275
           -0.2      143.09305     0.15382286      126.34528     0.13595175      160.47737     0.17386619
              0      143.30105      0.1539205      126.52801      0.1359817      160.71361     0.17388152
            0.2       138.8547     0.15166752      122.61571     0.13397305      155.71281     0.17108367
            0.4      131.28452     0.14776388      116.01199     0.13064759      147.09781      0.1666622
            0.6       120.3569     0.14185678      106.42352     0.12550688      134.74645     0.15991983
            0.8      107.28159     0.13435543      94.944389     0.11894578      119.98298     0.15119815
              1      92.282819     0.12507011       81.77349     0.11092968      103.04273     0.14072688
            1.2      76.916868     0.11458313      68.238667     0.10173056      85.755225     0.12858812
            1.4      61.674005     0.10298444      54.788126    0.091550924      68.634252     0.11534277
            1.6      47.411713    0.090589865      42.164708    0.080618631      52.678306     0.10124947
            1.8      34.741414    0.077744692      30.930369    0.069268277      38.534407    0.086765376
              2      24.258246    0.065084522      21.628915    0.058084246      26.844227    0.072528947
            2.2      15.756733     0.05252708      14.057727    0.046915396      17.411237    0.058429439
            2.4      9.5842588    0.040979521       8.560215    0.036631932      10.567665    0.045571174
            2.6      5.2587196    0.030318937      4.7001492    0.027128684      5.7872181    0.033622808
            2.8      2.6031576    0.021309861      2.3262945    0.019057273      2.8628645    0.023620339
              3       1.105563    0.014737186      1.0135475    0.023795743      1.1601239     0.03555776
            3.2      0.4299581    0.008641236     0.38558216   0.0077617148     0.46976806   0.0095090121
            3.4     0.13228069   0.0047584418     0.11926281   0.0042933231     0.14312445   0.0051799548
            3.6    0.034703854   0.0024195772      0.0315702   0.0021982342    0.036962526   0.0026112501
            3.8   0.0058008218  0.00098434782   0.0052209869  0.00088554848   0.0062616044   0.0010721201
              4   0.0058008218  0.00098434782   0.0052209869  0.00088554848   0.0062616044   0.0010721201
