#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0013997522  0.00049498821   0.0012303304  0.00043543628   0.0015614174  0.00055335373
           -3.8    0.011225674   0.0014566208   0.0099541479   0.0013093571    0.012459299    0.001603564
           -3.6    0.079812109   0.0037866663    0.070052361   0.0033275786    0.089744696   0.0043168122
           -3.4     0.35252881   0.0079616069     0.30862354   0.0069702727     0.39805267   0.0091185434
           -3.2      1.0275757    0.013637669     0.90344288    0.011977806      1.1530607    0.015550592
             -3      2.5573665    0.021396059      2.2533551    0.018858481       2.864628    0.024239615
           -2.8      5.3931074    0.031103788      4.7615599    0.027453071      6.0305875    0.035152384
           -2.6      10.061635    0.042393268      8.8991683    0.037499056      11.235166    0.047770216
           -2.4      16.650495    0.054351202      14.753987    0.048178973      18.560347    0.061126917
           -2.2      25.663877    0.067289648      22.765621    0.059722599      28.585764    0.075566507
             -2      36.696295    0.080178891      32.549188    0.071158512      40.901195    0.090046072
           -1.8      49.513121    0.092766081      43.914907     0.08235311      55.206012     0.10427451
           -1.6      63.546629     0.10464962      56.352898    0.092939899      70.880951     0.11796678
           -1.4      78.325103     0.11570012       69.43448     0.10270097      87.412933     0.13015844
           -1.2      93.019892     0.12551322      82.426091     0.11128721      103.87535     0.14101871
             -1      106.98752     0.13408421      94.757624     0.11888913      119.54165     0.15099201
           -0.8      119.08925     0.14100603      105.41894      0.1249039      133.14201      0.1587101
           -0.6      129.13488     0.14641341      114.28051     0.12966672      144.41163     0.16476319
           -0.4      136.27912     0.15013433      120.55217     0.13291308      152.47601     0.16898553
           -0.2      139.56694     0.15179153      123.45688       0.134341      156.15209     0.17089361
              0      139.70639     0.15185882      123.56724     0.13439456      156.33193     0.17086269
            0.2      136.11585     0.15005117      120.43517      0.1331274      152.24786     0.16977729
            0.4      129.19678     0.14648441      114.30858      0.1296622       144.5317     0.16480898
            0.6      119.48607     0.14124459      105.76182     0.12512918      133.60511     0.15895233
            0.8      106.87418      0.1340565      94.632383      0.1187593      119.45507     0.15068774
              1      93.159413     0.12566224      82.525435     0.11137169      104.06966     0.14128514
            1.2      78.300391     0.11569116      69.380165     0.10255533      87.441034     0.13007308
            1.4      63.670763     0.10477199       56.44113    0.092944481      71.058815     0.11770428
            1.6      49.420563    0.092731617      43.812458    0.082240173      55.140609     0.10414245
            1.8      36.689386    0.080267984      32.534186     0.07122262      40.908473    0.090241534
              2      25.758609    0.067673295      22.855857     0.06319016      28.668605    0.097512642
            2.2       16.69361    0.054488664      14.779464     0.04828011      18.630984     0.06151991
            2.4      10.050428    0.042389116        8.88557    0.037481976      11.229465    0.047907924
            2.6      5.4266718    0.031260037      4.7925308    0.027668853      6.0646878    0.035633573
            2.8      2.5975114    0.021685338      2.2868968    0.019128044      2.9129119    0.025152149
              3      1.0666168    0.013860379     0.93243126    0.012126746       1.206734    0.015859822
            3.2     0.33407283    0.007769547     0.29337822   0.0068213834     0.37577998   0.0088428143
            3.4    0.074655287    0.003673461    0.064945004   0.0031950914    0.084978075   0.0042386343
            3.6    0.012978796   0.0015443105    0.011475613    0.001377573    0.014409539   0.0017169327
            3.8   0.0012242478  0.00052735036   0.0010939348  0.00047242021   0.0013352435  0.00057325714
              4   0.0012242478  0.00052735036   0.0010939348  0.00047242021   0.0013352435  0.00057325714
