#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16.299367    0.051172196       15.36605       0.048021       18.61676    0.059172121
            0.2      45.763225    0.084945938      43.135424     0.07980122      52.286869    0.097919507
            0.4      67.622163     0.10259061      63.698947     0.09639607      77.281917     0.11809199
            0.6      82.126849     0.11269086      77.356812     0.10594867      93.821516     0.12963881
            0.8      90.118823     0.11896746      84.867314     0.11111168      102.92159     0.13816697
              1      95.195468     0.12122549      89.597959     0.11395532      108.72929     0.13926745
            1.2      98.622776     0.12351706       92.78471     0.11605386       112.6225     0.14187562
            1.4      102.33429     0.12592128      96.262664     0.11839057      116.82042     0.14502983
            1.6      106.55394     0.12855416      100.18334     0.12087307      121.62805     0.14799837
            1.8      112.74963     0.13216631      105.97602     0.12421843      128.69377     0.15195871
              2      121.48187     0.13710245      114.14828     0.12881919       138.6507     0.15792679
            2.2      133.15153      0.1436419      125.06849     0.13453195      151.97226     0.16611385
            2.4      148.14881     0.15072419      139.09814     0.14143587      169.08959     0.17296804
            2.6      166.73574     0.15927952      156.46762     0.14935492      190.32494       0.182677
            2.8      187.48118     0.16830738       175.8907     0.15820507      213.95345     0.19456361
              3      183.74122     0.16705132      172.23585     0.15647159      209.67335     0.19168733
            3.2      61.354722     0.10113248      57.258593    0.094363553       69.86505     0.11612985
            3.4      23.349329    0.063850692      21.662762    0.059217937      26.569335    0.073377508
            3.6        10.0454    0.042620161      9.2578409      0.0392326       11.45006    0.048986804
            3.8      4.5361378    0.029071665      4.1567589    0.026583853      5.1790405     0.03348581
              4      2.0858414    0.019886301      1.9004796    0.018132285      2.3873088    0.023076965
            4.2     0.94071096    0.013575827     0.85308767    0.012271994      1.0787817    0.015802395
            4.4     0.41923161   0.0091492539     0.37816021   0.0082470615      0.4821246    0.010637528
            4.6     0.18869168   0.0062155386     0.16877315   0.0055618333     0.21870633   0.0072457485
            4.8    0.075637259   0.0038892069     0.06726393   0.0034467757    0.088043474   0.0045963144
              5    0.075637259   0.0038892069     0.06726393   0.0034467757    0.088043474   0.0045963144
