# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      2.7532949    0.022157844      2.5572814    0.020563573      3.1328606    0.025372713
           -3.8      3.6780773    0.025513585      3.4170827    0.023707532      4.1882223    0.029187861
           -3.6      4.8033871     0.02904468      4.4690782    0.027087492      5.4667019    0.033371698
           -3.4      6.3062626    0.033231235      5.8755454     0.03111588      7.1717923    0.038098621
           -3.2      8.2556557    0.037836937      7.6990898    0.035317314      9.3916988    0.043352709
             -3      10.586151    0.042736463      9.8791488    0.039870724      12.047945    0.049092088
           -2.8      13.560286    0.048178027      12.669504     0.04500555      15.431445    0.055186853
           -2.6      17.324681    0.054234026      16.198271    0.050662234      19.724949    0.062137095
           -2.4      21.887637    0.060651836      20.478783    0.056744892      24.931042    0.069463024
           -2.2      27.529941    0.067724908      25.781435    0.063516244      31.362791    0.077715422
             -2      34.271743     0.07527799      32.119447    0.070460445      39.065364    0.086370848
           -1.8      42.453518    0.083335936      39.814609    0.078086295      48.408863    0.095794502
           -1.6      52.149211    0.091852776      48.932769    0.086134742      59.500578     0.10528288
           -1.4      62.703003     0.10022656      58.884545    0.094054122        71.5528     0.11498348
           -1.2      74.643233     0.10881136      70.147048     0.10233312      85.199267     0.12486575
             -1      86.940177     0.11681541      81.713368     0.10970233       99.28818     0.13449203
           -0.8      99.471643     0.12429421       93.54422     0.11674344      113.61115     0.14277305
           -0.6      110.37777     0.13040421      103.84321     0.12254354      126.08919     0.15003011
           -0.4      119.02229     0.13492976      111.95384     0.12673157      136.01722     0.15505948
           -0.2      123.79212     0.13740769      116.47931     0.12909361      141.45149     0.15814096
              0      123.68357     0.13737822      116.38083     0.12911258      141.32861     0.15851949
            0.2      118.90953     0.13501475      111.88584     0.12719539      135.84582     0.15695311
            0.4      110.36202     0.13079058      103.83961     0.12262221      126.05524     0.15213813
            0.6      99.329661       0.124219      93.403489     0.11666793         113.47     0.14269244
            0.8      87.111161     0.11792497       81.88459     0.11001526      99.472425      0.1367734
              1      74.545236     0.10873224      70.043707     0.10208075      85.094173     0.12481693
            1.2      62.753202     0.10025591       58.92744    0.094078081      71.615176     0.11498812
            1.4      52.110567    0.091818728      48.898834    0.086105489      59.450052     0.10523307
            1.6      42.551565    0.083448297      39.914199    0.078160874      48.516637     0.09576186
            1.8      34.391422     0.07532967       32.23661    0.070573036      39.192167    0.086241947
              2      27.637213    0.067859742       25.87688    0.063522504      31.494732    0.077758517
            2.2      21.948844    0.060787533      20.543471    0.056866124      24.993514    0.069780379
            2.4      17.373673    0.054287019       16.23967    0.050713122      19.784581    0.062175658
            2.6       13.60346    0.048266499      12.711178     0.04507206      15.482403    0.055361324
            2.8      10.567089     0.04271696      9.8557537    0.039897313      12.029399    0.048853188
              3      8.2340274    0.037861458      7.6717837    0.035286764      9.3749448    0.043590871
            3.2      6.3462232    0.033355488      5.9104541    0.031039633      7.2211939    0.038159729
            3.4      4.8450776    0.029176106      4.5042407    0.027124046      5.5195851    0.033360046
            3.6      3.7137938     0.02565048      3.4470954    0.023790092      4.2328273    0.029362125
            3.8      2.8013482    0.022307152      2.5988085    0.020697234      3.1919672     0.02548387
              4      2.8013482    0.022307152      2.5988085    0.020697234      3.1919672     0.02548387
