#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.10509025   0.0045406135    0.093433562    0.004036917     0.12253188   0.0053261429
           -3.8     0.18793948    0.006127258     0.16748616   0.0054667795     0.21890901   0.0071779287
           -3.6     0.33416995   0.0080287534      0.3006907   0.0072110803     0.38561349   0.0093743599
           -3.4     0.58638738    0.010577424     0.53236671   0.0096020819     0.67151375    0.012294068
           -3.2      1.0443535    0.013980285     0.95150571    0.012859858      1.1944965    0.016479647
             -3      1.7097632    0.017814848      1.5617739    0.016261289      1.9545573     0.02057406
           -2.8      2.8159342    0.022729874      2.5839747    0.020850563      3.2112313    0.026385859
           -2.6       4.491205    0.028569585      4.1390888    0.026310658      5.1118577      0.0331004
           -2.4      7.1359623    0.035611986      6.5986916    0.032894734      8.1177058    0.040893092
           -2.2      10.869027    0.043669366      10.080801    0.040492603      12.360162     0.05014275
             -2      16.315608    0.053047673       15.18004    0.049639236      18.550041    0.061235935
           -1.8      24.151257    0.064065989      22.531523    0.059761621      27.464236    0.073705909
           -1.6      35.000562    0.076368392      32.708038    0.071412778      39.854834     0.08748883
           -1.4      49.577736    0.090108091      46.432227    0.084330027      56.478392     0.10349255
           -1.2       68.43502     0.10484847      64.203446    0.098301002      78.025584      0.1203108
             -1      91.815454     0.12026978      86.231624     0.11291133      104.77697     0.13841563
           -0.8      118.62727     0.13532571      111.52469     0.12722125      135.44537     0.15530103
           -0.6      145.74921     0.14851219      137.11492     0.13954894      166.48969     0.17065484
           -0.4      168.87637     0.15853142      158.93461     0.14902481      192.96594      0.1820254
           -0.2      182.23623     0.16401034      171.57838     0.15420895      208.22959     0.18861399
              0      182.51883     0.16418902      171.87754     0.15482512      208.52311     0.19077631
            0.2       168.7079     0.15854013       158.8049     0.14903858      192.74828     0.18207245
            0.4      145.73149     0.14885912      137.10347     0.13959878      166.47484     0.17241186
            0.6       118.7316     0.13541543      111.63156     0.12714045       135.5548     0.15560364
            0.8      92.166451      0.1204728      86.541947     0.11304133      105.19555     0.13816503
              1      68.519196     0.10606111      64.267189    0.098638022      78.134857     0.12308618
            1.2      49.484575    0.089987386      46.338546    0.084223639      56.380662     0.10313114
            1.4      35.121699    0.076496733      32.829945     0.07144141      39.983747     0.08763193
            1.6      24.149173    0.064032422      22.530522    0.059697465      27.462227    0.073501083
            1.8      16.413683    0.053172146      15.258598    0.049397353       18.68002    0.060887118
              2      10.934641    0.043826277      10.148836    0.040617916      12.426973    0.050405664
            2.2      7.1340232    0.035768679      6.5946267    0.032982778      8.1181145    0.041374523
            2.4      4.5465176    0.028664259      4.1853839    0.026443608      5.1819668    0.032977337
            2.6      2.7919813    0.022593137      2.5564524    0.020672246       3.191541    0.026008441
            2.8       1.726398     0.01790503      1.5749947    0.016302949      1.9763539    0.020687377
              3      1.0255754    0.013828898     0.92983244    0.012528874      1.1797892    0.016009269
            3.2     0.60191592    0.010708417     0.54400669   0.0096652042     0.69262088    0.012445835
            3.4     0.32631672    0.007894596     0.29398771   0.0071063911     0.37623453   0.0091714032
            3.6     0.17906555   0.0059096498     0.16130231   0.0053095286     0.20626466      0.0068977
            3.8    0.097517066   0.0043686271    0.087532175   0.0039001026     0.11240859   0.0051330001
              4    0.097517066   0.0043686271    0.087532175   0.0039001026     0.11240859   0.0051330001
