#        yHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0075880175   0.0011597907   0.0067695965   0.0010367303   0.0088230176   0.0013499258
           -3.8    0.031205649   0.0023515408    0.027994136   0.0021147475    0.036279373   0.0027305592
           -3.6     0.13075891   0.0048053523     0.11839286   0.0043480494     0.15074071   0.0055639291
           -3.4     0.44379091   0.0088024163     0.40333081    0.008004725     0.51078869    0.010155384
           -3.2      1.1104844    0.013905216      1.0142374    0.012719589      1.2757552    0.016022601
             -3      2.6178501    0.021238518      2.4010746    0.019499554      3.0040706     0.02447157
           -2.8      5.1706151    0.029716347      4.7658353     0.02739891      5.9192438    0.034171953
           -2.6      9.2807846    0.039685065      8.5850102    0.036741638      10.614193    0.045621926
           -2.4      15.185455    0.050513859      14.095564    0.046903346      17.350737    0.058017059
           -2.2      23.112503    0.062065425      21.522335      0.0578234      26.382433    0.071211058
             -2      32.822745    0.073575698      30.645289     0.06866499      37.451451    0.084312522
           -1.8      44.305187    0.085112453      41.461807    0.079576425      50.531683     0.09790372
           -1.6      57.307171    0.096219006      53.733319    0.090291221      65.350843      0.1107575
           -1.4      70.969314     0.10649083      66.606302    0.099824819      80.969256     0.12218995
           -1.2       84.89693     0.11588012      79.751071     0.10878703      96.881918     0.13303751
             -1      98.016583     0.12392276      92.153488     0.11639237      111.86499     0.14219292
           -0.8       109.8432     0.13065574      103.31995     0.12276051      125.39988     0.14994355
           -0.6      119.50136      0.1357945      112.44623     0.12764422      136.45165     0.15587685
           -0.4      126.40411     0.13938386      118.99141     0.13104772      144.32744     0.16006611
           -0.2      129.47249     0.14122781      121.90195     0.13247231      147.83161     0.16314346
              0      130.00029     0.14127457      122.41471     0.13295757      148.41651     0.16275197
            0.2      126.21349     0.13942651      118.83676     0.13147051      144.07214     0.16230089
            0.4      119.49027     0.13582596      112.45419     0.12768558      136.41734     0.15603632
            0.6       109.5901     0.13048425      103.10784     0.12263457      125.09395     0.14989431
            0.8      98.110446     0.12397494      92.239276     0.11639691      111.97649     0.14239402
              1      84.761465      0.1167996      79.627617     0.10886343      96.721392     0.13545084
            1.2      70.947181     0.10643294       66.60404    0.099799796      80.926607     0.12240383
            1.4       57.11872    0.096057386      53.538325    0.089972013       65.15968     0.11094713
            1.6      44.363953    0.085050372      41.500517    0.079528586      50.619839    0.097541771
            1.8      32.862578    0.073658688      30.679489    0.068711395      37.496419    0.084837128
              2      23.097718    0.061949584      21.507242    0.057703602      26.368484    0.071056504
            2.2      15.149195    0.050428051      14.062714    0.046800564      17.307722    0.057920982
            2.4      9.3287999    0.039750916      8.6340169    0.037191285      10.664713    0.046289579
            2.6      5.1726615    0.029688059       4.765755    0.027381295      5.9242622     0.03415323
            2.8      2.5883986    0.021106569      2.3727635    0.019353296      2.9710417    0.024334065
              3      1.1442887     0.01408294      1.0427192     0.01284592      1.3183315    0.016248237
            3.2     0.43372858   0.0087507819      0.3935621   0.0079410191     0.50054641    0.010165553
            3.4     0.13107907   0.0047884518     0.11847465   0.0043336297     0.15132786   0.0055274255
            3.6     0.03403236   0.0024374239    0.030824518   0.0022095146    0.039017386   0.0028003564
            3.8    0.006948886   0.0011151428   0.0062465746   0.0010056619   0.0080240219   0.0012882546
              4    0.006948886   0.0011151428   0.0062465746   0.0010056619   0.0080240219   0.0012882546
