# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      3.1675194    0.023234712      2.7991916    0.020550187        3.54628    0.026096863
            0.2      9.1989938    0.039500874      8.1287715    0.034946077      10.298723    0.044349754
            0.4      14.689183    0.049823769      12.977513    0.044086607      16.446664    0.056033768
            0.6      19.450154    0.057232387      17.181463    0.050610183      21.776653    0.064303751
            0.8      23.761947    0.063135298      20.987699     0.05582168       26.60303    0.070955445
              1      27.550265    0.067883178      24.334504    0.060012694      30.835849    0.076288667
            1.2      31.718523    0.072723741      28.024703    0.064316784      35.482409    0.081733636
            1.4      35.991814    0.077315862      31.802678    0.068418145      40.249167    0.086992872
            1.6      41.437073     0.08280393      36.630328    0.073297009      46.307023    0.092949804
            1.8      48.291462    0.089196463      42.698038    0.078946408      53.946061     0.10006784
              2      57.978885    0.097511256      51.299475     0.08650408      64.696727     0.11152409
            2.2       72.62775     0.10860759      64.316625    0.096272797      80.941686     0.12164844
            2.4      96.042632      0.1240722      85.164854     0.11013172      106.84925     0.13877034
            2.6      138.96148     0.14747711      123.43987     0.13113843      154.24081     0.16460835
            2.8      232.48868       0.185753      207.25032     0.16586994      256.92052     0.20709843
              3      444.31278     0.24172665      399.99104     0.21790841      485.35383     0.27711692
            3.2      251.08876     0.19336679      226.10927     0.17440517      274.26821     0.21307712
            3.4      138.27234     0.14827824       124.1583     0.13332036       151.5726     0.16379784
            3.6      82.785413     0.11646832      74.112609     0.10438563      91.086833     0.12906696
            3.8      52.217771    0.093224289      46.634441    0.083328482      57.622033      0.1038469
              4      33.988107    0.075615344      30.294914    0.067410588      37.593282    0.084647595
            4.2      22.861371    0.062151829      20.334184    0.055298741      25.358426    0.069689923
            4.4      15.820924    0.051739348      14.047555    0.045991566      17.586857    0.058050573
            4.6      11.130412    0.043467555      9.8705958    0.038585111      12.394479    0.048786432
            4.8       7.955981    0.036794674      7.0514672    0.032609207       8.865531    0.041325868
              5       7.955981    0.036794674      7.0514672    0.032609207       8.865531    0.041325868
