#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.7710708    0.021521254      2.4620268     0.01911989      3.0944139    0.024270998
            0.2      8.0823406    0.036416179       7.205319    0.032512851      8.9818006    0.040710817
            0.4      13.282107    0.046517891      11.868442    0.041628166      14.707562    0.051833865
            0.6      18.471124     0.05474502      16.535022    0.049089199      20.396832    0.060714227
            0.8        23.6765    0.061957129      21.221062     0.05559226       26.09559    0.068795719
              1      29.346061    0.068869668      26.309654    0.061858125      32.324214      0.0761441
            1.2      35.785911    0.075994438      32.100798    0.068305016       39.37683    0.083918645
            1.4      43.710518    0.083945253      39.238295    0.075504946      48.032616    0.092802871
            1.6      53.855711    0.093074609      48.349222    0.083721399      59.154659     0.10254464
            1.8       67.59137     0.10409341      60.682273    0.093641262      74.208283     0.11464154
              2      86.674023     0.11754844       77.81532     0.10573834       95.10628     0.12937677
            2.2       114.2525      0.1343363      102.61246     0.12094847      125.24069     0.14803986
            2.4      154.42132     0.15570625      138.70327     0.13999913      169.12909     0.18725127
            2.6      211.81084     0.17913771      190.23304     0.16117379      231.87863     0.19722276
            2.8      287.03678     0.20472956      257.81022     0.18416883      313.99642     0.22545436
              3      331.66788     0.21767329      297.58978     0.19560204       363.1487     0.24047629
            3.2      166.92953     0.16172219      148.41662     0.14392047      185.02821      0.1811802
            3.4      95.684124     0.12482682      84.378912     0.11014344      107.23397     0.14187587
            3.6      60.393024     0.10017543      52.924206    0.087916398      68.251476     0.11630721
            3.8      39.929733    0.081914197       34.80848    0.071370065      45.440897    0.094433348
              4      26.949897    0.067522572      23.376748    0.058545931      30.872109    0.077978631
            4.2      18.585008    0.056255386       16.05922    0.048558271      21.397025    0.065351323
            4.4      12.900169    0.047081024      11.113909    0.040443509      14.909107    0.055433962
            4.6      9.0750502    0.039488635      7.7953462    0.033876211      10.527626    0.046321321
            4.8      6.5134857    0.033526006      5.5719542    0.028647195      7.5956871    0.039419554
              5      6.5134857    0.033526006      5.5719542    0.028647195      7.5956871    0.039419554
