#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      17.560832    0.054940006      15.652221    0.048979191      19.403857    0.061131971
            0.2      49.321356    0.091177675      43.965576    0.081330215      54.496419     0.10151091
            0.4      72.657494     0.10975964      64.777354    0.097939157      80.276379     0.12213663
            0.6      87.693849     0.11990527      78.206874     0.10709671      96.875049     0.13387104
            0.8      96.331102     0.12519553      85.934995     0.11182961      106.39043     0.13976912
              1      100.87194     0.12774465      89.994858     0.11411228       111.4056     0.14191135
            1.2      104.29598     0.13057157      93.085726      0.1165752      115.13037      0.1637352
            1.4      107.25949     0.13119428      95.716068     0.11725494      118.45719     0.14557546
            1.6      111.47202     0.13348676      99.514068     0.11934223      123.06595     0.14810705
            1.8      117.55661     0.13674545      104.99236     0.12238125      129.72321     0.15184086
              2      126.17356     0.14124368      112.71887     0.12637595      139.20389     0.15661889
            2.2       137.5335     0.14694196      122.98418     0.13163584      151.55958     0.16294944
            2.4      152.32729      0.1539977      136.31448     0.13813004      167.70577     0.17199196
            2.6      171.44049      0.1624551       153.5209     0.14570817      188.59055     0.17987468
            2.8      192.75377     0.17125743      172.70934     0.15365219      211.85731     0.18985387
              3      187.83602      0.1693314      168.30508     0.15187917      206.41481     0.18761371
            3.2      61.701619     0.10045216      54.868955    0.089336347      68.423219     0.11247917
            3.4      22.944154    0.062057881      20.200233    0.054594659      25.755353    0.070730134
            3.6      9.7925564    0.040901207      8.5418406    0.035580367      11.119855    0.047153696
            3.8      4.3589077    0.027433809      3.7690491    0.023629519      5.0021949    0.031973586
              4      1.9903821     0.01864632      1.7097137    0.015925412      2.3020322    0.022027053
            4.2     0.88997226    0.012516061     0.75588595    0.010591411          1.044    0.014871073
            4.4     0.39318057   0.0083716569     0.33296136   0.0070387623      0.4623793    0.010159001
            4.6     0.17809503   0.0056534164     0.14949723   0.0047123384      0.2118752   0.0068539904
            4.8    0.077899495   0.0036721255    0.064967085   0.0030528706    0.093398412   0.0044513886
              5    0.077899495   0.0036721255    0.064967085   0.0030528706    0.093398412   0.0044513886
