#      ptt+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.2392902  0.00090422717     0.21366222  0.00080863522     0.26465899   0.0010024851
             10     0.70825624   0.0015466539     0.63249192   0.0013834374     0.78320172   0.0017233535
             20      1.1348482   0.0019460177      1.0132811   0.0017403252      1.2552022   0.0021581827
             30      1.4986162   0.0022250584       1.338051   0.0019897754       1.657487   0.0024679572
             40      1.7872161   0.0024200102       1.595719   0.0021641428      1.9764485   0.0026860164
             50      1.9921557   0.0025469822      1.7789628   0.0022781351       2.202374   0.0028254249
             60      2.1203201   0.0026216404      1.8937709   0.0023454422      2.3431235   0.0029083661
             70      2.1777772   0.0026535686      1.9452707   0.0023745915      2.4058725   0.0029460432
             80      2.1644943   0.0026447566      1.9334095   0.0023660879      2.3907706    0.002932963
             90      2.1197205   0.0026169065      1.8933047   0.0023417615      2.3410471   0.0029118263
            100        2.02757   0.0025606658      1.8110963   0.0022908521      2.2387093   0.0028385282
            110      1.9151872   0.0024905813       1.711112   0.0022288072      2.1134355   0.0027662111
            120      1.7856571   0.0024071793      1.5954064   0.0021545488      1.9700229   0.0026713331
            130      1.6429212   0.0023115517       1.467761   0.0020681363      1.8124728   0.0025614466
            140      1.5071333   0.0022166536      1.3466051   0.0019835674      1.6619497   0.0024584944
            150      1.3725258   0.0021406424      1.2267734   0.0019120701      1.5120725   0.0028157743
            160      1.2488621   0.0020212513      1.1156333   0.0018084191      1.3768813   0.0022418003
            170      1.1284331     0.00192295      1.0082888   0.0017208527      1.2433568   0.0021343691
            180      1.0137753   0.0018242074     0.90562649   0.0016314555       1.117137   0.0020234699
            190     0.91115387   0.0017306483     0.81395765   0.0015477451      1.0038316   0.0019228643
            200      0.8213969   0.0016437385      0.7338117   0.0014702735     0.90465571   0.0018239448
            210     0.73613493   0.0015572842      0.6576635    0.001393945     0.81053882   0.0017326966
            220      0.6576676   0.0014722502     0.58745514   0.0013171285     0.72413843   0.0016364566
            230     0.58898616   0.0013935361     0.52592971   0.0012454599     0.64868794   0.0015482715
            240     0.52935467   0.0013210204     0.47276736   0.0011815098     0.58271545   0.0014668142
            250     0.47468804   0.0012523383     0.42407208   0.0011216119     0.52222964   0.0013997083
            260     0.42502428   0.0011844134     0.37957019   0.0010582651     0.46770301   0.0013181605
            270     0.38164761   0.0011246793     0.34095128   0.0010099141     0.41963621   0.0013269797
            280     0.34267287   0.0010630724     0.30593059  0.00094955083     0.37708793   0.0011808429
            290     0.30676945   0.0010069052     0.27394878  0.00089902695     0.33737914   0.0011229493
            300     0.27668017    0.000955007     0.24697471  0.00085308148     0.30440726   0.0010623399
            310     0.24893557   0.0009067767     0.22234713  0.00080970922     0.27362578   0.0010106912
            320     0.22390704  0.00085933311     0.19979976  0.00076658454     0.24636752  0.00095753748
            330     0.20031199  0.00081420709     0.17882768  0.00072517903       0.220185  0.00091820531
            340     0.18083904  0.00077189412     0.16142323  0.00068925282       0.198818  0.00085757386
            350     0.16276595  0.00073260373     0.14531945  0.00065398955     0.17884181  0.00081822488
            360      0.1483803  0.00069909182      0.1324957  0.00062436722      0.1629894  0.00077986393
            370     0.13450899  0.00066661929      0.1201886  0.00059504383     0.14758089  0.00074833723
            380     0.12052007  0.00063027268     0.10760669  0.00056200404     0.13234735  0.00070134169
            390     0.10904584  0.00060019529    0.097405055   0.0005357494     0.11966161  0.00067051324
            400    0.099278258  0.00057208851    0.088673289  0.00051015407     0.10892808  0.00063906208
            410    0.091343436   0.0005495456    0.081610233   0.0004896244     0.10016537  0.00062158109
            420    0.081757596   0.0005195255    0.073010235  0.00046355551    0.089712028    0.000580865
            430    0.073419959  0.00049234391     0.06560647  0.00043907669    0.080470985  0.00055012789
