#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      6.6676738    0.037405458       5.675802    0.031777234      7.7529338    0.044382426
           -3.8      8.2488567    0.041510023      7.0583086    0.035551723      9.5275695    0.049068948
           -3.6      10.383852    0.046473932      8.9086976    0.039881453      11.957576    0.054450204
           -3.4      12.829617    0.051601736      11.054715    0.044443806      14.693342    0.060132136
           -3.2      15.859971    0.057285992      13.727915    0.049678235      18.055464    0.066655156
             -3      19.628153    0.063660294      17.066983    0.055319288      22.214616    0.073268329
           -2.8      24.078766    0.070390188      21.027801    0.061496415      27.101241    0.080879543
           -2.6      29.483538    0.077740695      25.847733    0.068180755       33.01918     0.08875659
           -2.4      35.599382    0.085287637      31.338857    0.075070091      39.649599    0.096737654
           -2.2       43.11017    0.093674623      38.095609    0.082819883      47.783104     0.10587955
             -2      51.517166     0.10216667      45.663247    0.090561229      56.882396     0.11483577
           -1.8      60.962162     0.11082279      54.240286     0.09866049      66.976311     0.12384432
           -1.6       71.23308     0.11949349      63.624104     0.10718493      77.855358     0.13438378
           -1.4      81.677468     0.12759393      73.201396     0.11517664      88.874646     0.14378303
           -1.2      92.595716     0.13545618      83.229428     0.12196062      100.37971     0.14928375
             -1      103.16639     0.14256889      92.975349     0.12882728      111.46035      0.1565777
           -0.8      112.56704     0.14859178      101.70852      0.1346854      121.20176      0.1628269
           -0.6       120.1524     0.15321636      108.74293     0.13905577       129.1049     0.16711323
           -0.4      125.48256     0.15637056      113.72623     0.14209453      134.58221     0.16990101
           -0.2      128.77436      0.1582875      116.81323      0.1439606      137.93866     0.17175195
              0       128.3371     0.15804427      116.39484     0.14443016      137.50681     0.17418004
            0.2      125.95741      0.1566587      114.15484     0.14237214      135.08643     0.17049432
            0.4      119.85771     0.15302989      108.47826     0.13884517      128.78297      0.1665841
            0.6      112.55691     0.14859754      101.69618     0.13460728      121.20418     0.16270469
            0.8      103.04316     0.14252232      92.898166     0.12927289       111.2652     0.15820099
              1      92.910878     0.13569126      83.515101     0.12218434      100.71321     0.14963905
            1.2      81.875476     0.12775013      73.374558     0.11482497      89.098694     0.14233018
            1.4      71.052526     0.11936004      63.448528     0.10665103      77.687261     0.13277637
            1.6      60.797269     0.11070694      54.100882    0.098598779      66.774489      0.1241199
            1.8      51.640032      0.1022591      45.798837    0.090841988      56.965092     0.11539589
              2      43.070264    0.093612013      38.043954    0.082751827      47.766364      0.1060333
            2.2      35.884993    0.085650215      31.585298    0.075427306      39.978382    0.097483167
            2.4      29.430581    0.077681373       25.80495    0.068163034      32.953474     0.08892568
            2.6      24.039659    0.070296747      20.987302    0.061407221      27.071539    0.080572193
            2.8      19.636914    0.063660393      17.067699    0.055407643      22.236258    0.073674943
              3      15.887954    0.057324375      13.752162    0.049586723      18.090383    0.066342438
            3.2      12.803997    0.051604547       11.04173    0.044521223      14.648387    0.060453576
            3.4      10.353556    0.046405591        8.88813    0.039838628      11.911669     0.05449471
            3.6      8.2144725    0.041393215      7.0198463    0.035337639       9.507592    0.048810838
            3.8      6.6249537    0.037232956      5.6351735    0.031643668       7.711563    0.044249458
              4      6.6249537    0.037232956      5.6351735    0.031643668       7.711563    0.044249458
