#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.993397    0.054263369      12.548131    0.048698708       15.17355    0.061239389
            0.2       39.61965    0.090569167      35.499227    0.081058669      43.028038     0.10087061
            0.4      60.809055     0.11132221       54.48554    0.099731709      66.067528     0.12350134
            0.6      77.218683     0.12473925      69.225779     0.11198454      83.860364     0.13919604
            0.8      89.851304     0.13386034      80.526097     0.11999274       97.66297     0.14813494
              1      99.867528     0.14059513      89.544902     0.12625156      108.51833     0.15602916
            1.2      108.70933     0.14621719        97.4742     0.13156877      118.15803      0.1631914
            1.4      116.51578     0.15092505      104.49734     0.13610981      126.63376     0.16976189
            1.6      125.37192     0.15611113      112.45454     0.14027014      136.27159     0.17299641
            1.8      135.07094     0.16160617      121.18422     0.14556362      146.79796     0.18095071
              2      147.22661      0.1681719      132.11596     0.15113111      160.00649     0.18608246
            2.2      162.13692     0.17580725       145.5564     0.15806641      176.14915     0.19407757
            2.4      180.94056     0.18484095      162.54229     0.16660155      196.42423     0.20523076
            2.6      203.81265     0.19496953      183.25229     0.17567184      220.97247     0.21577617
            2.8      228.82847     0.20502763       205.9976     0.18482358      247.60476     0.22634541
              3      229.81944     0.20510751      207.12563     0.18484004       248.1411     0.22708703
            3.2      114.08073     0.14863224       102.1702     0.13295775      124.14909     0.16563409
            3.4      64.871625     0.11817156      57.826668     0.10606558      70.961111     0.21254077
            3.6      40.982355    0.091172805       36.29843    0.080437955      45.223644      0.1036538
            3.8      27.127859    0.074416075      23.903422    0.065339866      30.138077    0.085019212
              4      18.182775    0.061355394      15.970175    0.053695182      20.280543    0.070474516
            4.2      12.522724    0.050968325      10.956858     0.04435674      14.036313    0.059296644
            4.4      8.5305665    0.042225325      7.4383077    0.036583676      9.6049159      0.0490014
            4.6      6.0250524    0.035582654      5.2431155    0.030759339      6.8029947    0.041446043
            4.8      4.1343665    0.029528692       3.584849    0.025419682      4.6910769    0.034600495
              5      4.1343665    0.029528692       3.584849    0.025419682      4.6910769    0.034600495
