# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      7.8162969    0.040354604      6.9155147    0.037136367      8.6794563    0.049666203
            0.2      22.313324    0.067935312      19.713973    0.060136926      24.826621    0.076481448
            0.4      33.865707    0.083405896      29.915762    0.073819975      37.671313    0.093932762
            0.6      41.684488    0.092290705      36.799224    0.081557688      46.385371     0.10387128
            0.8      47.064261     0.09785467      41.552653    0.086561494      52.336817     0.11056878
              1      50.828242     0.10151589      44.857509    0.089661928      56.522684     0.11431251
            1.2      54.026787     0.10452924      47.705269    0.092842088      60.008003     0.11993276
            1.4      58.044216     0.10817449      51.248801     0.09556717      64.455901     0.12197856
            1.6      63.965562     0.11335305       56.52367     0.10031963      70.929992     0.12773885
            1.8      73.208143     0.12095153      64.773775     0.10729889      81.017713     0.13659751
              2      88.027373     0.13215498      77.961852     0.11716086      97.285696     0.14816879
            2.2      111.39404     0.14785505      98.806039     0.13125405      122.83768     0.16547798
            2.4       151.3002     0.17069861      134.43628     0.15191608       166.4377     0.19124485
            2.6       225.8363     0.20493497      201.18404     0.18268162      247.54475     0.22847274
            2.8      390.83573      0.2586766      349.90797     0.23194873      425.61014     0.28823737
              3       701.3243     0.31883365      636.89276     0.29022938      749.81712     0.38986895
            3.2      161.36929     0.17458203      147.23411     0.15929239      170.89487     0.19403474
            3.4      32.544764    0.080574271      29.700121    0.073223299      34.303175    0.089076162
            3.6      7.7250117    0.039187961      7.0781039    0.035623053      8.0593276    0.043208596
            3.8      1.9388535    0.019519207      1.7900155    0.017841604      1.9991595    0.020318159
              4     0.48579289   0.0097270684     0.45452714   0.0089628768     0.49964789    0.010123681
            4.2      0.1360514   0.0050845122     0.12914961   0.0047770547     0.13944243   0.0052625323
            4.4    0.033468468   0.0025192763    0.030778086   0.0026794497    0.034017239   0.0026074954
            4.6   0.0098270113   0.0013369754   0.0087991765    0.001329707    0.009863119   0.0013534338
            4.8   0.0016956394  0.00059729772   0.0008829157  0.00064188547   0.0019933627  0.00062080472
              5   0.0016956394  0.00059729772   0.0008829157  0.00064188547   0.0019933627  0.00062080472
