#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.5699068    0.027166284      3.1249099    0.023644677      3.9964189    0.031502324
           -3.8      4.7291663    0.031306086      4.1440512    0.027213125      5.2906711     0.03631595
           -3.6      6.1392436    0.035552045        5.39386    0.031082897      6.8428257    0.040932806
           -3.4      8.0153732     0.04047764      7.0607552     0.03550286      8.9020379    0.046424345
           -3.2      10.412981     0.04608268      9.1965825    0.040494937      11.528367    0.052561597
             -3      13.363961    0.052447486      11.827082     0.04625507      14.756521    0.059731854
           -2.8      17.164038    0.058938804      15.214897    0.052097137      18.919763    0.066442676
           -2.6      21.750387    0.066237442       19.32463    0.058708374      23.906802    0.074532894
           -2.4      27.430866    0.074214331      24.432784    0.066151139      30.056019    0.083465969
           -2.2      34.296074    0.082912508      30.623051    0.074143126      37.451423     0.09438068
             -2      42.772539    0.092381684       38.24649    0.082557895       46.63869     0.10301934
           -1.8      52.902546     0.10253337      47.386493    0.091876514      57.556591     0.11396078
           -1.6      64.262468     0.11281109      57.624105     0.10115049      69.838525     0.12506555
           -1.4      78.023489     0.12405706      70.035651     0.11139822       84.69775     0.13724746
           -1.2      92.600864     0.13484412      83.214235     0.12152531      100.37948     0.15021266
             -1      108.65015     0.14566387      97.683428     0.13119201      117.71808      0.1609464
           -0.8       123.7167     0.15510109      111.25002     0.13961832      134.03299     0.17088702
           -0.6      137.62445     0.16326988      123.81787     0.14740463      149.00822     0.18128168
           -0.4      148.55279     0.16936916      133.64718     0.15292221      160.84891     0.18886191
           -0.2       154.6286     0.17268385      139.11358     0.15566238        167.426     0.19111822
              0      154.87414     0.17283111      139.33434     0.15569502      167.69261     0.19058877
            0.2      148.69562      0.1694837      133.76858     0.15265256       161.0208     0.18680055
            0.4      137.67733     0.16335544      123.82745     0.14718113      149.13134     0.18030936
            0.6      123.88039     0.15532931      111.41796     0.14041675      134.17723     0.17386359
            0.8      108.59132      0.1457591      97.605675      0.1311841      117.70563     0.16129628
              1      93.033775     0.13522023      83.566994     0.12160345      100.92308     0.14946778
            1.2      78.058642     0.12420467      70.041943     0.11154259      84.779795     0.13781467
            1.4      64.731652     0.11338396      58.012768     0.10172608      70.415754     0.12606628
            1.6      53.172254     0.10300172      47.572641    0.092184597      57.961795     0.11475016
            1.8      43.069473    0.092866895      38.488182    0.083034089      47.008153      0.1041992
              2      34.580002    0.089507024      30.884085    0.080991452      37.733273     0.19351157
            2.2      27.627373    0.074708247      24.561748    0.066481314      30.358177    0.084505849
            2.4      21.960698    0.066740788       19.47291    0.059055617      24.212137    0.075252885
            2.6      17.299189    0.059415569      15.303648    0.052395759      19.127252     0.06739384
            2.8      13.553216     0.05269836      11.967775    0.046410261      15.022002    0.059931466
              3      10.574596     0.04705355      9.3060846    0.041170063      11.772345    0.054236291
            3.2      8.0942974    0.040890804      7.1047559    0.035730504      9.0424916    0.046863002
            3.4      6.2857975    0.036176286      5.5032295    0.031523602       7.047127    0.041613266
            3.6      4.7876238    0.031600392      4.1784269    0.027422874       5.388648    0.036515022
            3.8      3.6403105    0.027605423      3.1754262    0.023962272      4.0986929    0.032059772
              4      3.6403105    0.027605423      3.1754262    0.023962272      4.0986929    0.032059772
