#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      6.5281557    0.037048916       5.572967    0.031414686      7.5583892    0.044127361
           -3.8      8.1282631    0.041345734      6.9668669    0.035239787      9.3650315     0.04929784
           -3.6      10.304525    0.046495226      8.8443414     0.03975974      11.859827    0.054791558
           -3.4      12.764822    0.051726932      10.998534     0.04438017      14.621369    0.060656476
           -3.2      15.826673    0.057550912      13.691706    0.049682452      18.034364    0.067451469
             -3      19.625918    0.064009554       17.05045     0.05542312      22.243693    0.074080585
           -2.8      24.066314    0.070738418      21.002129    0.061610839      27.119485    0.081630133
           -2.6      29.481587    0.078033103      25.829004    0.068259544      33.053766    0.089450817
           -2.4      35.532714    0.085448033      31.272443    0.075035993      39.593963    0.097294157
           -2.2      42.940307     0.09361523      37.955327    0.082622963      47.579081     0.10614991
             -2      51.222796     0.10185015       45.43447    0.090242149      56.498134     0.11457199
           -1.8      60.480516     0.11023038      53.878864    0.098144129      66.320058      0.1232062
           -1.6      70.518378     0.11858313      63.097422     0.10636842      76.860959     0.13360999
           -1.4      80.726653     0.12637965      72.508922     0.11417547      87.534791     0.14251787
           -1.2      91.355591     0.13390181      82.332059     0.12079573      98.620091      0.1472401
             -1      101.66893     0.14073631      91.897599     0.12745677      109.32359     0.15419749
           -0.8      110.82855     0.14653279      100.46074     0.13321198      118.71416     0.15996165
           -0.6      118.20821     0.15100473      107.35079     0.13747418      126.31645     0.16402198
           -0.4      123.40457     0.15405886      112.24105     0.14045286      131.59645      0.1666359
           -0.2      126.63037     0.15608953      115.28534     0.14247268      134.84908     0.16847363
              0      126.17403     0.15575158      114.85251     0.14268555      134.39147     0.17149364
            0.2      123.86229     0.15433875      112.65719     0.14070352      132.07645     0.16729382
            0.4      117.92083     0.15081963      107.09146     0.13723897      126.00483     0.16356003
            0.6      110.80904     0.14654698      100.44122     0.13311576      118.70409     0.15988337
            0.8        101.538     0.14068391      91.814493      0.1278704      109.11826      0.1559751
              1      91.672909     0.13412467      82.619103     0.12101562      98.957056     0.14755342
            1.2      80.917154     0.12651253      72.676497     0.11389111      87.748474     0.14069764
            1.4      70.349376     0.11843479      62.931303     0.10590902      76.707174     0.13166538
            1.6      60.310079     0.11011197      53.736011    0.098036686      66.109197      0.1236171
            1.8      51.347101     0.10195789         45.571    0.090552215      56.583093     0.11509461
              2       42.89229    0.093529631      37.897639    0.082554225      47.551158     0.10623775
            2.2      35.813402    0.085779723       31.51545    0.075413635      39.915522    0.097863655
            2.4      29.416749    0.077953677      25.777124    0.068273754      32.972221    0.089412539
            2.6      24.029099    0.070597814      20.963211    0.061482211      27.092064    0.081299452
            2.8      19.627348    0.063991757      17.046134    0.055523261      22.254378    0.074376142
              3      15.864075    0.057595145      13.722875    0.049648457      18.082449    0.067007259
            3.2      12.735753    0.051708763      10.983101    0.044435739      14.571369    0.060989998
            3.4      10.258533    0.046373034      8.8130021    0.039669466      11.790354    0.054802721
            3.6      8.1035385    0.041248217      6.9352627    0.035106104      9.3590619     0.04890489
            3.8      6.4925926    0.036911338      5.5372568    0.031281722      7.5277852    0.044127479
              4      6.4925926    0.036911338      5.5372568    0.031281722      7.5277852    0.044127479
