#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0008142789  0.00040737795  0.00049181579   0.0002523247  0.00089933101  0.00045098137
           -3.8    0.017300508   0.0020125302    0.016045004   0.0018532949    0.018269011   0.0021150365
           -3.6     0.10220892   0.0046062542    0.090662945   0.0041175439     0.11035293   0.0052919445
           -3.4     0.44379012   0.0097162686     0.39300313   0.0085643534     0.48256555    0.011219917
           -3.2      1.2668238    0.016331216      1.1333791    0.014616636      1.3581275    0.018761556
             -3      3.0993243    0.025459334       2.775347    0.022771256      3.3317837    0.028631355
           -2.8        6.44997    0.036671496      5.7849794    0.032983252      6.9415222    0.041587267
           -2.6      11.805924    0.049472791      10.604829    0.044348309      12.713411    0.055014905
           -2.4      19.453327    0.063258032      17.490622    0.056836407      20.967327    0.070341778
           -2.2       29.71416    0.084430566       26.77994    0.077148084      31.947145     0.19029054
             -2      42.520478    0.092853411      38.217525    0.083441428      46.002733     0.10278263
           -1.8      57.019721     0.10706841      51.229755    0.096177915      61.771174     0.11854544
           -1.6      73.103569     0.12072118       65.63579     0.10844249      79.330067     0.13377987
           -1.4       89.87026     0.13318776      80.681004     0.11963368      97.573416     0.14752032
           -1.2      106.70199      0.1445176      95.747969     0.12990996      115.93843     0.16076835
             -1      122.32574     0.15411644      109.66853     0.13833635      133.10423     0.17088758
           -0.8      136.17628     0.16205506      122.04577     0.14529689      148.24819     0.17950201
           -0.6      147.38539     0.16832814      132.09806     0.15103833      160.41377     0.18771992
           -0.4      155.68109     0.17246392      139.45216     0.15480471      169.59641     0.19213027
           -0.2      158.99081      0.1741429      142.39598      0.1560409      173.23102      0.1932296
              0      159.38717     0.17436587      142.76325      0.1565647      173.64211     0.19475124
            0.2      155.57919     0.17243298      139.35383     0.15457573      169.50365     0.19139574
            0.4      147.22006     0.16810743      131.89434     0.15075781      160.34734     0.18710883
            0.6      136.70733     0.16237892      122.55072     0.14567873      148.77475     0.18005058
            0.8      122.69693     0.15439637      110.00494     0.13875357      133.49322     0.17205089
              1      106.79695     0.14465575      95.829221     0.13072096      116.04621     0.16431495
            1.2       90.03845     0.13342002      80.798318     0.11976229      97.817532     0.14826781
            1.4      73.063807     0.12074814      65.612704     0.10855589      79.264403     0.13435881
            1.6      57.175976     0.10730486      51.355711    0.096438089      61.971243     0.11928581
            1.8      42.289666    0.092695269      37.994577    0.083286834      45.777982     0.10284128
              2      29.786553    0.078082936      26.752371    0.070121025      32.224705    0.086430495
            2.2      19.576012    0.063561623      17.579879    0.057047335      21.142968    0.070488058
            2.4      11.863746    0.049669744      10.635832    0.044509603      12.819134     0.05556846
            2.6       6.516662    0.036978137      5.8432695    0.033081666      7.0155026    0.041909153
            2.8      3.1265464    0.025707311      2.7921274    0.022932923      3.3769045    0.028968105
              3      1.2836851    0.016575461      1.1411102    0.014704137      1.3911084    0.018913151
            3.2     0.41298328   0.0093655889     0.36646683   0.0082841781     0.44664802     0.01077716
            3.4      0.1117962   0.0049007984    0.098821451   0.0043344789     0.12126854   0.0056497276
            3.6    0.016758006   0.0019024477    0.015300708   0.0017420406    0.017648067   0.0019865572
            3.8   0.0015701521  0.00062761338    0.001475139  0.00059979565   0.0016416768  0.00060667073
              4   0.0015701521  0.00062761338    0.001475139  0.00059979565   0.0016416768  0.00060667073
