#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      19.801259    0.062412783      17.973406    0.056833013       21.07257    0.068783053
            0.2       55.32327     0.10328879      50.175683    0.093696399      58.969571     0.11260472
            0.4       81.71074     0.12454561      74.145558     0.11316795      87.047325     0.13672953
            0.6      98.510569     0.13589686      89.401122     0.12338169      104.95254     0.14816049
            0.8      108.42531     0.14194653      98.424835     0.12899587      115.49922     0.15522326
              1      113.60564     0.14483503      103.17184     0.13174153      120.94289     0.15794566
            1.2       117.4207     0.14690785      106.66434     0.13369449       124.9741      0.1618678
            1.4      120.83536     0.14872217      109.82999     0.13604684      128.49789     0.16440246
            1.6       125.2855     0.15104029      113.89933     0.13748812      133.20191     0.16499805
            1.8      131.93005     0.15465985      119.99081     0.14097948      140.20083     0.17105185
              2      141.76729     0.15974717      128.98294     0.14550492      150.62027      0.1733938
            2.2      154.53638     0.16619944      140.69738     0.15140574      164.04971     0.18052648
            2.4       171.2319     0.17457939      156.06344     0.15895695       181.4992     0.19368554
            2.6      192.40919     0.18364655      175.54322     0.16771089      203.64475     0.19960211
            2.8      215.64463     0.19335972      196.90827     0.17665193      227.90253     0.21020538
              3      210.31552     0.19139121      192.12357     0.17466767      221.97586     0.20870831
            3.2      71.056637      0.1743887      64.612931     0.10984999      75.118405     0.34386761
            3.4      27.525267    0.072613482      24.780324    0.064868292      29.394154     0.08271785
            3.6      12.345538    0.048988693      11.005712    0.043223803      13.318848    0.056524366
            3.8        5.65402    0.033342986      4.9925157     0.02900686      6.1589332    0.038795057
              4      2.6532376    0.022995899      2.3218247    0.019746815      2.9178227    0.027334388
            4.2      1.2852031    0.016005498      1.1118523    0.013638543      1.4323386    0.019016519
            4.4     0.59908433    0.010986731     0.51273819   0.0092401243     0.67601532    0.013280543
            4.6     0.28264669   0.0075253159     0.23982124   0.0062839776     0.32210888   0.0091866172
            4.8     0.11731033    0.004827081    0.098888043   0.0039726287      0.1339928   0.0060266115
              5     0.11731033    0.004827081    0.098888043   0.0039726287      0.1339928   0.0060266115
