# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      7.2816455    0.037853397      6.5338975    0.034518902      7.9097471    0.049237815
            0.2      20.814546    0.063399599      18.645643     0.05688574      22.665784    0.070147243
            0.4      31.586289    0.077848417      28.293783    0.069837629       34.37875    0.086188217
            0.6      38.876248    0.086120643      34.805763     0.07717647      42.318156    0.095138892
            0.8      43.862188    0.091311138      39.284876    0.081835001      47.687346     0.10168027
              1      47.316263    0.094581219      42.374103     0.08475203      51.414256     0.10449297
            1.2      50.252966    0.097346643      45.040551     0.08770898      54.509814     0.11026119
            1.4      53.935687     0.10067433      48.350609    0.090261862      58.463324     0.11140983
            1.6      59.401321     0.10544029       53.30501    0.094687773      64.270279     0.11674944
            1.8      67.981877     0.11254623      61.089024      0.1013166      73.390394     0.12502312
              2      81.781513     0.12299833      73.558535     0.11067254      88.170041     0.13532725
            2.2      103.52377      0.1376914      93.258376     0.12405752      111.34958        0.15124
            2.4      140.73545     0.15914409      126.99199     0.14372531      151.01119     0.17518938
            2.6      210.34631     0.19137365       190.2771     0.17311213      224.90985      0.2094385
            2.8         365.16     0.24248269       331.8643     0.22048447      388.01471     0.26602833
              3       663.5499     0.32868916      610.58189     0.27974527      693.98938     0.45910404
            3.2      153.50595     0.16691327      141.90124     0.15419799      158.94625     0.18354388
            3.4      30.740688    0.076439451      28.498951    0.070474905      31.506574    0.083284331
            3.6      7.2652662    0.037056094      6.7774424    0.034384926      7.4107591    0.038123343
            3.8       1.819224    0.018461195      1.7131213    0.017247879      1.8522605    0.019003011
              4     0.45584048   0.0092042608     0.43550428   0.0087018823     0.46235347   0.0094528203
            4.2     0.12846292   0.0048260905     0.11951894     0.00487969     0.12980409   0.0049138062
            4.4    0.030491992    0.002357572    0.025883016   0.0023651348    0.031141555   0.0023658543
            4.6    0.008961169   0.0012515208   0.0073742067   0.0012029657   0.0091727323   0.0012677566
            4.8   0.0017784648   0.0006235627   0.0010023376  0.00064869866   0.0020524205  0.00064468125
              5   0.0017784648   0.0006235627   0.0010023376  0.00064869866   0.0020524205  0.00064468125
