#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      108.59929     0.14258091      98.469373     0.12920607      115.67867     0.15659519
            0.2      107.30439     0.14159956      97.279635     0.12831939      114.35038     0.15536315
            0.4      105.96399     0.14052899      96.070814     0.12741492      112.93726     0.15365171
            0.6      104.71441     0.13958682      94.936363       0.126602      111.63781      0.1528359
            0.8      104.80829     0.13950501      95.088219     0.12678617      111.64599     0.15504957
              1      105.57138     0.13970195       95.76953      0.1268138      112.52838     0.15283008
            1.2      108.52203     0.14141437      98.498349     0.12843506      115.59397     0.15491658
            1.4       113.2973     0.14419123      102.92112     0.13137388       120.5561     0.16058552
            1.6      120.10603     0.14800074      109.15354     0.13459824      127.74353     0.16116007
            1.8      129.35017     0.15313682      117.63803     0.13964525      137.46423     0.17004863
              2      141.55314     0.15962092      128.79705     0.14534471      150.36295     0.17379967
            2.2      157.94425     0.16783862      143.81312     0.15292918       167.6181     0.18260087
            2.4      177.57542     0.17736323      161.87337     0.16152018      188.11989     0.19530243
            2.6      201.17689     0.22879595      183.66029     0.17466096      212.58532     0.37940469
            2.8      224.87367     0.19713971      205.36943      0.1802809      237.48611     0.21482788
              3      169.00277     0.17334841      154.41066     0.15843902      178.31946     0.18881266
            3.2      169.00277     0.17334841      154.41066     0.15843902      178.31946     0.18881266
