#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       3.153078    0.026395011      2.7159686    0.022949664      4.1265514    0.034031341
            0.2      9.3364247    0.043172724      8.0419779    0.037422246      12.221736    0.056011677
            0.4      15.475624    0.055308353      13.330577    0.047906717      20.264571    0.071902096
            0.6      21.669579    0.065263918      18.662913    0.056492717      28.376197    0.084940443
            0.8       27.85888    0.073899275      23.995885    0.063932823      36.481304    0.096243511
              1      34.563727    0.082181103      29.772103    0.071087386      45.266916     0.10713382
            1.2      42.026132    0.090485862       36.19579     0.07820323      55.083496     0.11821687
            1.4      51.215871    0.099647745      44.133874    0.086153733      67.119937     0.13005936
            1.6      62.694364     0.10991914      54.040428     0.09508443      82.216131     0.14363034
            1.8      78.155595     0.12220922      67.386174     0.10563623      102.57704     0.15983906
              2      99.555389     0.13708904      85.877895     0.11848695      130.82633     0.17959123
            2.2      129.86864     0.15561272       112.0876     0.13415242      170.92514     0.20471007
            2.4      173.32225     0.17779938      149.66028     0.15311555      228.50134     0.23450114
            2.6      234.96654     0.20314983      202.96667      0.1752321      310.41376      0.2679943
            2.8      314.23661     0.22991915      271.44487     0.19816859      415.99168     0.30407135
              3      362.32362     0.24443275      312.77364     0.21003369      480.28007     0.32428937
            3.2      190.64012     0.18665821      163.66267     0.15943726      252.81122     0.24839495
            3.4      114.00989     0.14786145      97.278661     0.12566938      151.50694     0.19751457
            3.6      74.760934     0.12134963      63.437211     0.10255284      99.608883     0.16289548
            3.8      50.936408     0.10104361      42.999562    0.084938909      68.069144     0.13589086
              4      35.246273     0.12074857      29.675047    0.071096906       47.18805     0.21409665
            4.2        24.8083    0.071159585      20.742438    0.059306918      33.364136    0.096381168
            4.4       17.75533    0.060434395      14.788133    0.050108534      23.945711    0.082124601
            4.6       12.62932    0.051103039       10.47859    0.042151353      17.082836    0.069750352
            4.8      9.1692934    0.043675487      7.5788262    0.035854533      12.433529    0.059831956
              5      9.1692934    0.043675487      7.5788262    0.035854533      12.433529    0.059831956
