#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      19.300341    0.061428865      16.669514    0.052716713      25.567234    0.081679841
            0.2      54.108424     0.10165037      46.692333    0.087513101      71.685046     0.13483072
            0.4      80.264949     0.12317029      69.250843     0.10596065       106.3308     0.16360511
            0.6      97.236221     0.13499275      83.828703     0.11608173      128.87314     0.17906105
            0.8       107.5876     0.14169213       92.67611     0.12182162      142.63916     0.18795881
              1      113.27462      0.1452667      97.522941     0.12484606      150.18192     0.19263827
            1.2      117.62025     0.14817024      101.20352     0.12710581      155.96573     0.19647339
            1.4      121.52561     0.15088214      104.54794     0.12920034      161.06914     0.20012971
            1.6      126.50345     0.15339877      108.80359     0.13172349      167.56641     0.20321943
            1.8       133.6861      0.1580103      114.97197     0.13533554      176.96227     0.20959067
              2       144.1277     0.16327157      123.93677     0.14031768      190.63534     0.21580691
            2.2      157.63742     0.17035581      135.58263     0.14645314      208.28554     0.22496827
            2.4      175.18974     0.17938198      150.73446     0.15408147      231.19123     0.23699615
            2.6      197.47128     0.18938614      169.95024     0.16295963      260.27807     0.24951571
            2.8      221.80003     0.19987075      190.91372     0.17195192      292.04908     0.26310744
              3       217.1261     0.19840832      186.75556      0.1705178      285.88431     0.26123527
            3.2       74.97909     0.14895945      63.793855     0.10314498      99.635437     0.24296294
            3.4      29.579848    0.078032258      24.800718    0.065044306      39.799219     0.10568518
            3.6      13.450318     0.05308382      11.126459    0.043649015      18.315279    0.072710171
            3.8       6.240274    0.036475842      5.0934806     0.02951335      8.6037383    0.050712282
              4      2.9633646    0.025369258      2.3858909    0.020223357      4.1361985    0.035761328
            4.2      1.4506912    0.017859398      1.1501878     0.01404729      2.0538784    0.025497738
            4.4     0.68227315    0.012349701     0.53311228   0.0095676448     0.97841923    0.017865269
            4.6      0.3246722   0.0085349545     0.25039769   0.0065272045     0.47130751    0.012492064
            4.8     0.13682192   0.0055122367     0.10423634   0.0041547364     0.20095877    0.008178084
              5     0.13682192   0.0055122367     0.10423634   0.0041547364     0.20095877    0.008178084
