#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      6.3977458    0.036310541      5.3245997    0.030047888      8.6221995    0.049361617
           -3.8      7.9530561    0.040467596       6.640859     0.03371344      10.690849    0.054842325
           -3.6      10.052908    0.045395954      8.4032515    0.037835561      13.502767    0.061329967
           -3.4      12.438348    0.050441425      10.430265    0.042170915      16.665446    0.067976216
           -3.2      15.403806    0.056063139      12.951065     0.04704773       20.60412    0.075462161
             -3      19.078997    0.062311648      16.090849    0.052421068      25.466116    0.083560954
           -2.8      23.370357    0.068776067      19.771791    0.058086284      31.128858    0.092053022
           -2.6      28.551297    0.075793654      24.222168    0.064158429      37.972729     0.10123303
           -2.4      34.369664    0.082923552      29.244067    0.070399128      45.619505     0.11041897
           -2.2      41.447762    0.090731588       35.36664    0.077247515      54.937574     0.12070616
             -2      49.312835    0.098510224      42.165637    0.084073878       65.28882     0.13071632
           -1.8      58.064823     0.10637894      49.785868    0.091073889       76.77828     0.14087326
           -1.6      67.477347     0.11451159      58.018525    0.097997893      89.101276      0.1520528
           -1.4      76.982665     0.12191703       66.31523     0.10440451      101.60052     0.16109759
           -1.2      86.859001      0.1283127      74.947268     0.11058959      114.59029     0.16913635
             -1      96.280566     0.13446566      83.184046     0.11605844       127.0609     0.17714515
           -0.8      104.63156     0.13963913      90.521299     0.12075702      138.03039     0.18388665
           -0.6      111.33635     0.14360369      96.388153     0.12432559       146.8964     0.18890232
           -0.4      115.97009     0.14623986      100.45736      0.1267387      153.01938     0.19225161
           -0.2      118.83513     0.14805818      102.98763     0.12837522      156.81089     0.19456533
              0       118.3681     0.14827084      102.57218     0.12800282      156.23012     0.19559934
            0.2      116.37146     0.14652729        100.807       0.126912      153.56904      0.1927043
            0.4      111.05398     0.14337133      96.145998     0.12419051      146.51629     0.18855297
            0.6      104.67284     0.13973709      90.548616     0.12080887      138.05946     0.18402618
            0.8      96.170837     0.13495672      83.116019     0.11611775      126.86953     0.17780331
              1      87.122925     0.12850943      75.175573     0.11075083      114.96959     0.16946128
            1.2      77.180316     0.12161137      66.487324     0.10457538      101.85313     0.16080276
            1.4      67.317311     0.11406098      57.860432    0.097857052      88.914806     0.15080728
            1.6      57.871281      0.1062631      49.635564    0.090984755      76.514368     0.14082314
            1.8      49.429802    0.098638856      42.285689    0.084248532      65.425008     0.13098486
              2      41.399848    0.090657944       35.31887    0.077163832      54.879037     0.12066437
            2.2      34.637522    0.083260486       29.47176    0.070686984      45.973968     0.11095229
            2.4      28.508978    0.075771384      24.188518    0.064142024      37.901344      0.1011923
            2.6      23.336447    0.068697054      19.735433    0.058025843      31.092949    0.091887973
            2.8      19.075068    0.062297267      16.087039    0.052426989       25.45987    0.083702564
              3      15.443516     0.05611982      12.981775    0.047053769      20.659714    0.075434376
            3.2      12.429738    0.050584187      10.423258    0.042204577      16.651504    0.068500089
            3.4      10.014426      0.0453322      8.3774708     0.03775214      13.440432    0.061366144
            3.6       7.924277     0.04032896      6.6099722    0.033500177      10.657612    0.054647631
            3.8      6.3588761    0.036185847      5.2891899     0.02991407      8.5707058    0.049278755
              4      6.3588761    0.036185847      5.2891899     0.02991407      8.5707058    0.049278755
