#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      107.79385     0.14237377      92.561272     0.12186966      143.39632      0.1897076
            0.2      106.64062     0.14155527      91.564534     0.12116151      141.85553     0.18867513
            0.4      105.54541     0.14075597      90.631606     0.12055153      140.35162     0.18737997
            0.6      104.54307     0.14007442      89.780401     0.12004089      138.93395      0.1863594
            0.8      104.92585     0.14059679      90.135986     0.12030384      139.37831     0.18698276
              1      106.03798     0.14101652      91.063859     0.12096203      140.80857     0.18731735
            1.2      109.31186     0.14318268      93.903463     0.12278472      145.03043     0.19012891
            1.4      114.45324     0.14696021      98.360471     0.12564131      151.73705     0.19494399
            1.6       121.7319     0.15077377       104.6199     0.12942504      161.23768     0.19968532
            1.8      131.50924     0.15708038      113.04292     0.13436405      174.04922     0.20846361
              2      144.42533     0.16364732      124.13323     0.14057518      190.96381     0.21637712
            2.2      161.63846     0.17257117      138.94992     0.14826343      213.52646     0.22787714
            2.4      182.28688     0.18275142      156.75336      0.1569612       240.5066     0.24137516
            2.6      207.10174       0.212208      178.20495     0.16671493      272.87627     0.31326357
            2.8      231.97108     0.20436978      199.56483     0.17561593      305.33874     0.26907182
              3      174.46071     0.17973912      150.09055      0.1545033      229.53332     0.23662746
            3.2      174.46071     0.17973912      150.09055      0.1545033      229.53332     0.23662746
