#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.74720466   0.0012133689     0.64823004    0.001059616     0.97077294   0.0015607138
            360      1.6214326   0.0017359682      1.4056981    0.001511799      2.1119856   0.0022479349
            380       1.793505   0.0018149198      1.5532098   0.0015774023      2.3432144   0.0023611826
            400      1.7770344   0.0018046531      1.5374834   0.0015662589      2.3277425   0.0023551156
            420      1.6741065    0.001754016      1.4466682   0.0015195969      2.1985502   0.0022961566
            440      1.5356573   0.0016837098      1.3256511   0.0014565162      2.0209462   0.0022098541
            460      1.3928889    0.001608009      1.2013957   0.0013892004      1.8361774   0.0021149234
            480      1.2504043   0.0015270789       1.077245   0.0013177999       1.651843   0.0020134391
            500      1.1163239   0.0014464729      0.9607677   0.0012464089      1.4770814    0.001910954
            520     0.99074267   0.0013655891     0.85174569   0.0011751315      1.3128752   0.0018073976
            540     0.87740928   0.0012874394     0.75356073   0.0011061063      1.1645735   0.0017076233
            560     0.77702466   0.0012136545     0.66669244   0.0010414805       1.032725   0.0016125907
            580     0.68834201   0.0011447264     0.59010685  0.00098019251     0.91580449   0.0015231834
            600     0.60883157    0.001077206     0.52140818  0.00092131771     0.81121851   0.0014357094
            620     0.54068301   0.0010176591     0.46268636  0.00086816597      0.7211575   0.0013590917
            640     0.47908915  0.00095785113     0.40957328  0.00081664765     0.63965636   0.0012805221
            660     0.42597238  0.00090431016     0.36399638  0.00077027724     0.56917424   0.0012114334
            680     0.37657442  0.00085201221     0.32144026  0.00072286264     0.50381266   0.0011446926
            700     0.33591699  0.00080341965     0.28646014  0.00068226222     0.44990669   0.0010796474
            720      0.2993678  0.00076324379     0.25516389  0.00064333172     0.40128255   0.0010352811
            740     0.26753662  0.00071994107     0.22801563  0.00060856214     0.35876549  0.00097253985
            760     0.23906975  0.00068117483     0.20344997  0.00057458498     0.32089747   0.0009200604
            780     0.21282614   0.0006479876     0.18098812   0.0005409481     0.28597741   0.0008779173
            800      0.1915013  0.00060960166     0.16261023  0.00051278341     0.25762431  0.00082571756
            820     0.17175303  0.00058249825     0.14581134  0.00048480395     0.23123498  0.00079142729
            840     0.15478335  0.00054972471     0.13127428  0.00045973946     0.20845018  0.00074624183
            860     0.13871339  0.00052114106     0.11756226  0.00043478996     0.18692716  0.00070994143
            880     0.12514461  0.00049461731     0.10593739  0.00041237617     0.16882167   0.0006739254
            900     0.11331534  0.00047245794    0.095983839   0.0003925539     0.15285585  0.00065096444
            920     0.10307552  0.00046906539    0.087210177  0.00037426599     0.13921943  0.00065831051
            940    0.093146114   0.0004279151    0.078659705  0.00035510043     0.12593045  0.00058874599
            960    0.083325186  0.00040636915    0.070390273  0.00033553312     0.11269478  0.00055760763
            980    0.075695192  0.00038661794    0.063816094  0.00031903113     0.10254817  0.00053202489
           1000    0.075695192  0.00038661794    0.063816094  0.00031903113     0.10254817  0.00053202489
