#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0010922068  0.00054687269  0.00088835794  0.00044443492   0.0015146221  0.00076010355
           -3.8    0.020965122    0.002391725     0.01682185   0.0019416336    0.029021299   0.0032912604
           -3.6     0.11362953   0.0051228272    0.091228501   0.0041480388     0.15694291   0.0071022713
           -3.4      0.4815551    0.010554508     0.38890793   0.0085071352      0.6618919    0.014618904
           -3.2       1.348018    0.017451971      1.1073571    0.014301911      1.8242979    0.023866533
             -3      3.2496876    0.026790869      2.6971942    0.022201897      4.3571137    0.036164758
           -2.8      6.6542738    0.038008787      5.5709459    0.031838195      8.8626802    0.050918458
           -2.6      12.002846    0.050580185       10.13045    0.042568912       15.90219    0.067320705
           -2.4      19.527139    0.063945513      16.576265    0.054123032       25.78245    0.084822874
           -2.2      29.451618     0.11619014      25.170645    0.066537188      38.759719     0.20847185
             -2      41.828406    0.091944923      35.750807    0.078478066      55.108284     0.12127917
           -1.8      55.511026     0.10494642      47.575184    0.089827522      73.148018     0.13840571
           -1.6      70.598109     0.11741347      60.588964     0.10061595      93.128829     0.15496169
           -1.4      86.180801      0.1286187      74.079218     0.11044217      113.75061     0.16976131
           -1.2      101.67375     0.13880761      87.492992     0.11923169      134.30664     0.18345965
             -1      115.93728     0.14709526      99.787739     0.12651012      153.36293     0.19454432
           -0.8      128.52169     0.15402661       110.6714     0.13250613      170.17207     0.20381907
           -0.6      138.64006     0.15962302      119.45582     0.13718808      183.69351     0.21149904
           -0.4      146.14711     0.16311615      125.90213     0.14035358      193.74459     0.21625553
           -0.2      149.07762     0.16447017      128.44137        0.14154      197.69536      0.2181025
              0      149.47947     0.16508462      128.78536     0.14175614      198.22053     0.21873878
            0.2      146.02068     0.16296671      125.79371     0.14030098      193.60077     0.21598327
            0.4      138.41301     0.15930106      119.23027      0.1369456      183.41406     0.21133027
            0.6      128.98516     0.15432231      111.10179     0.13279445       170.7307     0.20419898
            0.8      116.17957     0.14737565      100.02268     0.12664934      153.65235      0.1952092
              1      101.66019     0.13964743      87.484159     0.11925063      134.31201     0.18521332
            1.2      86.212706       0.128604      74.108581     0.11050167      113.79339     0.16971567
            1.4      70.472687     0.11743898      60.512683     0.10060641      92.910731      0.1551386
            1.6      55.556376      0.1050431      47.615427    0.089915929      73.222725     0.13862756
            1.8       41.48695     0.09155691      35.465515    0.078163655      54.670908     0.12086602
              2      29.496415    0.077832424      25.130584     0.06622393       38.90188     0.10283209
            2.2      19.580533    0.063994495      16.614207    0.054201461      25.864622    0.084796033
            2.4      12.002925    0.050571811      10.122702    0.042568962      15.910711    0.067350409
            2.6      6.6753671    0.038089137      5.5956941    0.031863286      8.8799916    0.050975647
            2.8      3.2455047    0.026808688       2.694238    0.022216336      4.3490835     0.03618237
              3      1.3548748    0.017556114      1.1117535    0.014407006      1.8336353    0.023924701
            3.2     0.44370864    0.010081322     0.35993528   0.0081758252     0.60703177     0.01387806
            3.4     0.12283958   0.0053898495    0.098201933   0.0043329773     0.17055543   0.0074794713
            3.6    0.019829318    0.002206014    0.016029978   0.0018107953    0.027066108   0.0029751848
            3.8   0.0019616855  0.00075412234   0.0015511555  0.00062269313   0.0027369896  0.00099380849
              4   0.0019616855  0.00075412234   0.0015511555  0.00062269313   0.0027369896  0.00099380849
