# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.024101     0.06430552      12.113154     0.05449408      18.593705    0.086075835
            0.2      40.163269     0.10813786      34.690483    0.091583134      53.255303     0.14480906
            0.4      62.070644     0.13330903      53.610334     0.11344631       82.24679     0.17838669
            0.6      78.985126     0.15037299      68.194969     0.12734466      104.66809     0.20097083
            0.8      92.211831     0.16136523      79.592302     0.13689854      122.12735     0.21553284
              1       102.6761     0.17004324      88.680178     0.15634797      135.89751     0.23426291
            1.2      111.94165      0.1775353      96.605779     0.15048044      148.14683     0.23698963
            1.4      120.88499     0.18373652      104.28017     0.15600518      159.95032     0.24520708
            1.6      129.81188     0.19044951      111.98545     0.16131087      171.64676     0.25389079
            1.8      140.53621     0.19794766      121.22273     0.16773729      185.68528     0.26383605
              2      153.85485     0.20674695      132.69975     0.17509247      203.15788     0.27538298
            2.2      169.78436     0.21691813      146.45497     0.18409112      223.98612     0.28901656
            2.4      189.85739     0.22931999      163.82143     0.19465745      250.18938     0.30543691
            2.6      214.53399     0.24309341      185.10723      0.2059637      282.38415     0.32335307
            2.8       242.2483     0.25770179      208.98352     0.21783817      318.57353     0.34241891
              3      246.48497     0.26091913      212.57446     0.22023096       324.0255     0.34685152
            3.2      122.75898      0.1880081      105.20219     0.15835906      162.34401     0.25140002
            3.4      70.259446     0.14341606      59.844843     0.11970876       93.43794     0.19255855
            3.6      44.719238     0.11497876      37.895056    0.095661269      59.736492     0.15519525
            3.8      29.494884    0.093561176      24.863088    0.077341761      39.580448     0.12664126
              4      20.026687    0.077364422       16.81601    0.063815504      26.972956     0.10515603
            4.2      13.746838    0.064099771      11.492119    0.052592144      18.588044    0.087366804
            4.4      9.5548295    0.053433859      7.9475776    0.043678057      12.969228    0.073087421
            4.6      6.6534123    0.044782803      5.5254733    0.036595572      9.0462398    0.061443692
            4.8      4.6404388    0.037489999      3.8420401    0.030493673      6.3278471    0.051491238
              5      4.6404388    0.037489999      3.8420401    0.030493673      6.3278471    0.051491238
