#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.5495261    0.030502214      3.0577364    0.026145603      4.6462819    0.040139196
            0.2      10.384885    0.052319237      8.9541682    0.044829033      13.583535      0.0688377
            0.4      17.286631    0.067631127      14.896225     0.05787556      22.636714    0.089082631
            0.6      24.080579    0.080094654      20.762541    0.068575183      31.512364      0.1055187
            0.8        31.0376    0.092239165      26.765078     0.07863961      40.621673     0.12163332
              1      38.374167     0.10202549      33.081551    0.086998382      50.251831     0.13453856
            1.2      46.698736     0.11299274      40.284317    0.096433899      61.119749      0.1490845
            1.4      56.894565     0.12511812      49.087246     0.10701833      74.512079     0.16529628
            1.6       69.65916     0.13878931      60.115488     0.11805209      91.257957     0.18330475
            1.8      86.780409     0.15494854      74.908352     0.13217712      113.79387     0.20524376
              2      110.21859     0.17477225      95.191049     0.14857184      144.70489     0.23144611
            2.2      143.64721     0.19921942      124.15272     0.16933241      188.85833     0.26420054
            2.4      191.31034     0.22898392      165.39825      0.1943711       251.9965      0.3042451
            2.6      259.24618     0.26465994      224.23741     0.22499515      342.15898     0.35269031
            2.8      345.50494     0.30316384      298.89522     0.25648732       456.9681     0.40468933
              3      397.23877     0.32484647      343.54234     0.28137159      526.07308     0.43875409
            3.2       210.0973     0.24380639      180.72134     0.20494135      278.34577     0.32632329
            3.4      125.38417     0.19090854      107.23337     0.15968081      166.38018     0.25596165
            3.6      82.096468     0.15534982      69.840582     0.12990946        109.201     0.20908921
            3.8       55.81792     0.12848804      47.227676     0.10668514      74.477769     0.17325648
              4      38.813453      0.1074557      32.670568    0.088858949      51.966192     0.14531723
            4.2        27.4663    0.090596726      23.025361    0.074681146      36.883133     0.12289724
            4.4      19.643074     0.07671708      16.393998    0.062781966      26.445459     0.10428998
            4.6      14.104688    0.065350923      11.727538    0.053274495      19.037407     0.08908897
            4.8      10.242781    0.055869715       8.488814    0.045402546      13.860173    0.076367237
              5      10.242781    0.055869715       8.488814    0.045402546      13.860173    0.076367237
