#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21.463264    0.078704536      18.566433    0.067001172       28.39529     0.10505621
            0.2      60.057893     0.13091245      51.926287     0.11109325      79.485411     0.17476727
            0.4      88.908743     0.15863597      76.825483     0.13468372      117.71243     0.21182318
            0.6       107.8365     0.17422844      93.092061     0.14777129      142.80819     0.23266178
            0.8      118.91436     0.18203405      102.59023     0.15423985       157.4973     0.24296103
              1      125.42659     0.18710882      108.14912     0.15851572      166.09828      0.2497709
            1.2      129.49173     0.18999489      111.56351     0.16079258      171.55256     0.25368534
            1.4        134.229     0.19331503      115.60604     0.16364329      177.75315     0.25803332
            1.6      140.03335     0.19757053      120.60814     0.16703318      185.33827     0.26362126
            1.8      147.74339     0.20296663      127.25698     0.17194348      195.37815     0.27087685
              2      158.88696     0.21019088      136.89967     0.17872602      209.92448      0.2806061
            2.2      172.96759      0.2192951      149.07136     0.18563634      228.25466     0.29215652
            2.4      192.71564      0.2309646      166.10966     0.20468124      254.05717     0.31305408
            2.6      216.80755     0.24467586      186.86711      0.2068109      285.42809     0.32548056
            2.8      243.63589     0.25871488      210.05082     0.21851576      320.45664     0.34390025
              3      238.81255     0.25717482      205.71619     0.21676926      314.11221     0.34201978
            3.2      83.080325      0.1573481      70.742032     0.13192553      110.33576     0.21187907
            3.4      33.060743     0.10135607      27.783515    0.083297004      44.402671     0.13788104
            3.6      14.983894    0.069122761      12.436075    0.056275923      20.361092    0.095233985
            3.8      7.1306666    0.048017613      5.8328642    0.038330345      9.8128733    0.066758576
              4      3.4414539     0.03368069      2.7722304    0.026490809       4.801345    0.047435815
            4.2       1.629405    0.023320805       1.297227    0.018123387      2.2994034    0.033165256
            4.4     0.79025807    0.016282247     0.62089951    0.012516156      1.1289403    0.023397234
            4.6     0.36238716     0.01132045     0.28140462   0.0085932591     0.52395043    0.016453034
            4.8     0.17847648   0.0079375682     0.13773573   0.0059650428     0.26045166    0.011651285
              5     0.17847648   0.0079375682     0.13773573   0.0059650428     0.26045166    0.011651285
