#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21.170234    0.078302061       18.30196    0.066484718      28.010929      0.1045324
            0.2      59.641804     0.13045244      51.566763      0.1111414      78.954044     0.17441061
            0.4      88.323968     0.15771467      76.317065     0.13401424      116.92615     0.21054533
            0.6      107.04352     0.17349501      92.434123     0.14708617      141.72742     0.23161646
            0.8      117.99571      0.1816927       101.8221     0.15427305      156.27602     0.24266133
              1      124.64568     0.18641072      107.44968     0.15785411      165.12725     0.24888331
            1.2      129.60246     0.18993561      111.73091     0.17192901      171.56593     0.26012773
            1.4      133.78281     0.19304147       115.2501     0.16350609      177.16269     0.25773638
            1.6      139.34367     0.19705565      120.01665     0.16665117      184.40259     0.26292966
            1.8      147.33146     0.20256269      126.88253     0.17135881      194.83079     0.27017805
              2      159.31925     0.21043109      137.21762     0.17801042      210.50493     0.28051618
            2.2      173.92781     0.21959929      149.86589     0.18678825      229.55192      0.2931598
            2.4      193.52551     0.23159132      166.76368     0.19587061      255.17523      0.3083937
            2.6      217.42868     0.24482427      187.39688     0.20702029      286.32708     0.32580141
            2.8      244.52593     0.25947638      210.80685     0.21913096      321.62949     0.34493587
              3      240.25916     0.25809119      207.01069     0.21767265      315.98335     0.34330841
            3.2         83.304     0.15763445      70.948581     0.13169776      110.63989     0.21182647
            3.4       33.02191     0.10124415      27.738634    0.082964719       44.36934      0.1375445
            3.6       14.94735    0.069142523      12.398105     0.05602242      20.315162    0.095091053
            3.8       7.117854    0.048075964      5.8242548    0.038360953      9.7916429    0.066826071
              4       3.379973    0.033404793       2.731364    0.026309092      4.7076587     0.04705489
            4.2      1.6129799    0.023374887      1.2863908    0.018154716      2.2736611    0.033259274
            4.4     0.76906879    0.016136693     0.60508326     0.01239449      1.0991319    0.023209286
            4.6     0.37108522    0.011331414     0.28707603   0.0085933929     0.53826379    0.016512489
            4.8     0.17999099   0.0077918352     0.13771792   0.0058553078     0.26340201    0.011441828
              5     0.17999099   0.0077918352     0.13771792   0.0058553078     0.26340201    0.011441828
