# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       8.021486    0.046414336      6.9417967    0.039835222      10.642022    0.061849826
            0.2      22.969267    0.078253567      19.852334    0.067129959       30.48205      0.1043419
            0.4      34.917872     0.09714952      30.125906    0.083048396       46.40348     0.12974034
            0.6      43.468412     0.10738317      37.411848    0.091709981      57.897088     0.14370619
            0.8      49.175048     0.11420123      42.247639     0.09732671      65.622528     0.15313057
              1      53.049691     0.11873421      45.507254     0.10101081      70.892688     0.15945926
            1.2      56.599763      0.1227233      48.458773     0.10416773      75.760903     0.16507036
            1.4      61.100731     0.12741255      52.300402     0.10835993      81.825994     0.17157064
            1.6      67.014918     0.13350185      57.349137     0.11322394      89.707363     0.17966727
            1.8      77.097063     0.14310213      66.024556     0.12144473      103.14282      0.1924776
              2      92.039062     0.15617136      78.904098     0.13265434      122.96956     0.20981804
            2.2      116.03113     0.17514092      99.551771     0.14892698       154.8477     0.23515903
            2.4      157.56127     0.20345657      135.35592     0.17297832      209.82293     0.27283488
            2.6      234.87867     0.24720602      202.04951     0.20973184      312.01313      0.3307412
            2.8      406.02174     0.31996584      350.12143     0.27813912      536.66753     0.43104454
              3      737.45331     0.42892345      638.98722     0.36003669       961.3653     0.56905926
            3.2      175.80416     0.23518157      150.40115     0.19478019      231.49653     0.31447662
            3.4       36.90907     0.11185531      30.969234    0.090839395      49.542343     0.15204957
            3.6        9.23901    0.057116803      7.6165318    0.045539743      12.604084    0.078767749
            3.8      2.4440516    0.030080878      1.9848562    0.023601836      3.3745809     0.04192892
              4     0.64838077    0.016214993     0.52211887    0.012529738     0.90448649    0.022869079
            4.2     0.19433439   0.0087781945     0.15450187   0.0067235145     0.27369244    0.012478818
            4.4    0.049586231   0.0046680346    0.039522691   0.0035383058    0.070076506   0.0066847207
            4.6    0.018994761   0.0027140427    0.014851775   0.0020546955    0.027118216   0.0039085551
            4.8   0.0044808592   0.0014935492   0.0035033247    0.001112031   0.0064986155   0.0021805797
              5   0.0044808592   0.0014935492   0.0035033247    0.001112031   0.0064986155   0.0021805797
