# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.2903642    0.033947336      2.7796794    0.027705746       4.498636    0.046685114
           -3.8      4.2396039    0.038583859      3.5909914    0.031573098      5.7848723    0.052992452
           -3.6      5.6295926    0.044265067      4.7840572    0.036299808      7.6605066    0.060696961
           -3.4      7.2825768    0.050361156      6.2068151    0.041374995      9.8862792    0.068892792
           -3.2      9.6368323    0.057299076      8.2197904      0.0472194      13.051437    0.078134301
             -3       12.28847    0.064644817       10.51358    0.053396797      16.594028    0.087953502
           -2.8      15.830141    0.073086344      13.582645    0.060569359      21.321724    0.099197812
           -2.6      20.027961     0.08188259      17.214318    0.067984444      26.903533     0.11090245
           -2.4       25.24346    0.091685175       21.75825      0.0763343       33.83661     0.12394034
           -2.2      31.956943     0.10240636      27.597308    0.085849837      42.724997     0.13821055
             -2      39.735108     0.11379668       34.37135    0.095360651      52.980765     0.15317106
           -1.8      49.577228     0.12590286       42.90817     0.10566629      66.003167     0.16920092
           -1.6      61.230511     0.13891869        53.0953     0.11727976      81.301491     0.18630794
           -1.4      74.743944     0.15229273      64.855596      0.1291437      99.067591     0.20422691
           -1.2      89.668557     0.16537792      77.824365     0.13965692      118.65249     0.22091745
             -1      105.95775     0.17804915      91.992559     0.15114653      139.97815     0.23784213
           -0.8      122.58006     0.18972682      106.41045     0.16075992      161.69653     0.25269511
           -0.6      137.68586     0.19943728      119.52371     0.16941653      181.41721     0.26554068
           -0.4      150.83841     0.20705291      130.83488     0.17569592      198.54035     0.27519819
           -0.2      159.20343     0.21142066      137.93953     0.17943253      209.47098     0.28087348
              0      161.38072     0.21165261      139.67264       0.180193      212.20663     0.28113501
            0.2      157.97287     0.20781652      136.49188     0.17671305      207.71768     0.27582687
            0.4       148.8105     0.20099354      128.33169     0.17060083      195.70204      0.2666837
            0.6      135.86337     0.19148418      116.96477     0.16254155      178.73343     0.25414828
            0.8      121.31307       0.180396      104.24696     0.16442107      159.64769     0.24633782
              1       105.3469     0.16777052      90.251019     0.14204727      138.81241     0.22284665
            1.2      89.994819     0.15492267      76.930989     0.13126352      118.66921     0.20597414
            1.4      75.636143     0.14203194      64.507157     0.12088541      99.846178      0.1896189
            1.6      62.492721      0.1298618      53.172967     0.10941817      82.600912      0.1730707
            1.8      51.236377     0.11716973      43.491348    0.098807325      67.801577      0.1563694
              2      41.641699      0.1049718      35.232998     0.08820965      55.206006     0.14014927
            2.2      33.678803     0.09442311      28.435599     0.07928365      44.720291     0.12642327
            2.4      26.902931    0.084434942      22.655663    0.070606297      35.791342     0.11314143
            2.6      21.368094    0.075240919      17.950656    0.062771722      28.461832     0.10096934
            2.8      16.879584    0.066859421      14.147546    0.056117074      22.528732    0.090131962
              3      13.222292     0.05914182      11.044324     0.04914226       17.68489     0.07969177
            3.2      10.262357    0.052191877      8.5505621    0.043222334      13.758463    0.070481753
            3.4      7.9795135    0.045904433      6.6263727    0.037918635      10.722703    0.062122637
            3.6      6.1556257    0.040386419      5.1023546    0.033299727      8.2807006    0.054709199
            3.8      4.6207404     0.03491417      3.8133747    0.028689687      6.2383736    0.047429637
              4      4.6207404     0.03491417      3.8133747    0.028689687      6.2383736    0.047429637
