#  detaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.7551772    0.035351426      3.9299447    0.029140962      6.4133425    0.048052024
           -3.8       6.156516     0.04036861       5.099869    0.033286166      8.2810412    0.054702196
           -3.6      8.0619364    0.046190409       6.691946    0.038109265      10.829083    0.062517433
           -3.4      10.342974    0.052220702      8.6102578    0.043374219      13.868763     0.07059162
           -3.2      13.271152    0.059122121      11.078247    0.049094347      17.764181    0.079640796
             -3      16.915258      0.0669254      14.169733    0.056370497      22.580311    0.090472995
           -2.8       21.43872    0.075297366       18.00059    0.063372769      28.574081     0.10141732
           -2.6      27.177498    0.084920791      22.889463    0.071076938       36.14296     0.11386353
           -2.4       33.78465    0.094550335      28.508721    0.079219486      44.854125     0.12644134
           -2.2      41.730429     0.10528007      35.321254    0.088432884      55.321807      0.1406088
             -2      51.392494     0.11690783      43.606485    0.098393253      68.012246     0.15588598
           -1.8       62.76645     0.12933631      53.386875     0.10899473      82.961373     0.17223361
           -1.6      75.721245     0.14206204      64.571202     0.12038607      99.980883     0.18937901
           -1.4       89.65348     0.15482926      76.654745     0.13191428      118.21183     0.20638676
           -1.2      105.18584     0.16827456      90.152801     0.14248693      138.57447     0.22353889
             -1      120.57228     0.18005239      103.60356      0.1530116       158.6682     0.23902848
           -0.8      135.62288     0.19167591      116.74848     0.16259976      178.41069     0.25428323
           -0.6      148.59587     0.20090739      128.19984     0.17070263      195.41341     0.26658536
           -0.4      157.69593     0.20781879      136.28759     0.17645661      207.34929     0.27575425
           -0.2      161.67805     0.21150155      139.93623     0.17975819      212.61668     0.28084445
              0      159.02546     0.21118925      137.89063     0.18973845      209.13381     0.28672039
            0.2      150.40105     0.20691581      130.48614     0.17571387      198.02004     0.27519043
            0.4      137.53302     0.19950365      119.37535     0.16940987      181.23792     0.26563564
            0.6      122.31093     0.19020854      106.19078     0.16113493      161.34236      0.2534073
            0.8      105.68504     0.17801198       91.73319     0.15068393      139.62282      0.2374715
              1      89.495593     0.16532436      77.703377     0.14031067      118.39467     0.22112029
            1.2      74.766593     0.15252673      64.869854     0.12848142       99.08986     0.20407918
            1.4      61.158768     0.13883872       53.01202     0.11675606      81.221848     0.18612649
            1.6      49.762338     0.12609721      43.101621     0.10588662      66.214509     0.16936142
            1.8      40.182393     0.11394437      34.732721    0.095425957      53.604755     0.15338714
              2       32.01314     0.10224154      27.616112     0.08532415      42.791774     0.13785316
            2.2      25.538307    0.091693026      22.002242    0.076490571      34.218148     0.12394009
            2.4      20.112995    0.081682033       17.28613    0.067919699      27.015526     0.11063529
            2.6      15.885534    0.072839207      13.610581    0.060361322      21.398322    0.098904796
            2.8      12.309691    0.064508556      10.524033    0.053281161      16.624492     0.08782472
              3      9.6142946    0.057005515      8.2059278    0.047022517      13.002777    0.077684693
            3.2      7.3944405    0.050239869      6.2894959    0.041298428      10.040129    0.068681039
            3.4      5.7793217    0.044116638      4.8942307    0.036194187      7.8689299    0.060443335
            3.6      4.2979206    0.038522552      3.6324304    0.031472972      5.8691678    0.052920066
            3.8       3.350375    0.034024132      2.8265386    0.027760136      4.5844681    0.046851855
              4       3.350375    0.034024132      2.8265386    0.027760136      4.5844681    0.046851855
