#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      1.1291863    0.018505154     0.90569391    0.014663867      1.5691424    0.026129305
           -3.8      1.7252711    0.022198074      1.3924279    0.017676325      2.3801654    0.031211879
           -3.6      2.5136829    0.026109075      2.0296873     0.02088768      3.4556756    0.036347401
           -3.4      3.6605537     0.03138362      2.9730392    0.025243616      4.9999516     0.04346311
           -3.2      5.3648036    0.037882006      4.3626931    0.030518748      7.3054345    0.052217278
             -3      7.8550922    0.045662187      6.4067578    0.036992338      10.647111    0.062646643
           -2.8       11.48975    0.054939915      9.4033017    0.044716381      15.497932    0.074990665
           -2.6      16.338585    0.065346231      13.408349    0.053395817      21.958995    0.088817089
           -2.4       23.58411    0.078195565      19.425947    0.064073584       31.57894      0.1056569
           -2.2      33.522541    0.092826651      27.794272    0.079364909      44.626179     0.12638289
             -2      46.303568     0.10882128      38.536564    0.090183716      61.453339     0.14549985
           -1.8       62.88072     0.12640672      52.626014     0.10551004      83.136146     0.16842132
           -1.6      81.893959      0.1438333      68.884012     0.12056227      107.95295     0.19089119
           -1.4       103.5862     0.16136003      87.576433     0.13592466      136.22315     0.21366155
           -1.2      126.50097     0.17831198      107.51687     0.15109599      166.06809     0.23579343
             -1      148.19485     0.19294666      126.53439     0.17465126      194.41358     0.26138847
           -0.8      166.86957      0.2046117      142.99212     0.17454264      218.96159     0.27057435
           -0.6      180.00204     0.21313212      154.85243     0.18189589       236.3432     0.28176372
           -0.4      186.51866     0.21802711      161.07381     0.18648676      245.21429     0.28869929
           -0.2      185.03528     0.21948327      160.38563      0.1879044      243.57961     0.29106915
              0      177.64739     0.21871362      154.54064     0.18725957      234.17064     0.29064308
            0.2      163.23752     0.21475079      142.43239     0.18322737      215.45133     0.28573621
            0.4      145.21389     0.20826144      127.09233     0.17720567      191.95955     0.27766203
            0.6      124.74988     0.19842319      109.38378     0.16844197       165.1186      0.2650901
            0.8      104.09391     0.18624606      91.385008     0.15733442      138.02592     0.24936614
              1      83.864156     0.17147274      73.615404     0.14454887      111.40756     0.23038249
            1.2      65.226269     0.15477215      57.166784     0.12915572      86.893283     0.20819386
            1.4      49.805801     0.13766947      43.515093     0.11416631      66.561439     0.18589074
            1.6      36.807618     0.11995317      32.046485    0.098995849      49.365734     0.16266552
            1.8      26.912894     0.10364772      23.319911    0.085965447      36.246062     0.14131759
              2      19.398056    0.088093927      16.686862    0.071828112       26.24223     0.12046955
            2.2      14.008113    0.074511741      11.959048    0.060368885      19.034931     0.10234339
            2.4      9.9214452    0.062408867      8.4243127    0.050363003      13.520385    0.086088913
            2.6       7.225141    0.052295612      6.0987465    0.042118118      9.8604422    0.072392367
            2.8      5.2355581    0.043637234      4.3835454    0.035010815      7.1692867    0.060661283
              3      3.8162303    0.036578266      3.1742403    0.029282404      5.2372913    0.050977892
            3.2      2.7407008    0.030523178      2.2753274    0.024452034       3.760143    0.042660359
            3.4      1.9894141    0.025449589      1.6372891    0.020308299      2.7433749     0.03573463
            3.6      1.3600832    0.021161488      1.1110813    0.016792918      1.8837391    0.029921847
            3.8     0.96713797    0.018637494     0.78487584    0.014673053      1.3484603    0.026490216
              4     0.96713797    0.018637494     0.78487584    0.014673053      1.3484603    0.026490216
