# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      130.34588     0.19545183       111.3277     0.16709131      152.77258     0.24424619
            0.2      129.21018     0.19547973      110.28591     0.16438144      151.58748     0.23908302
            0.4      127.30152     0.19307262      108.60884     0.16230443      149.47258     0.23537814
            0.6      125.84384     0.19194105      107.27544     0.16115408      147.97177      0.2338383
            0.8      125.17594     0.19156401      106.66526      0.1607663      147.30162     0.23337497
              1      126.83906     0.19279121      108.02762     0.16176691      149.39583     0.23511563
            1.2      129.93245     0.19511094      110.58374     0.16364218      153.22174     0.23820765
            1.4      135.54829     0.19916108      115.27284     0.16730087      160.05498     0.24435949
            1.6      143.62452     0.20508372      122.11859      0.1718266       169.6676     0.25092616
            1.8      154.85554     0.21283556      131.59369     0.17889244      183.11998     0.26209237
              2      169.57217     0.22254366      144.06184     0.18625133      200.63011      0.2730921
            2.2      188.55324      0.2343921        160.082     0.19622053      223.33591     0.28869841
            2.4      212.66021     0.24868676      180.42853     0.20761109      252.12703     0.30600782
            2.6      240.63599     0.26370988      204.12326     0.21992845       285.3824     0.32461422
            2.8       268.7936     0.27853662      227.98975     0.23209203      318.79934     0.34351479
              3      202.42283      0.2444502      171.61884     0.20359219      240.19022     0.30143588
            3.2      202.42283      0.2444502      171.61884     0.20359219      240.19022     0.30143588
