# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
              0      4.2062255   0.0055869824      3.7585234    0.004732032      4.6771352   0.0068132933
             10       6.281774   0.0061798545      5.4341474   0.0052117039      7.2709484   0.0075883117
             20       5.586451   0.0056759005      4.7746289   0.0047588618      6.5580209   0.0069434752
             30      4.6486654    0.005144923      3.9529087   0.0043375376      5.4887949   0.0063548819
             40      3.8408399   0.0046610931      3.2560556   0.0039032871      4.5504006   0.0057127567
             50      3.2109211    0.004257369      2.7160707   0.0035601893      3.8138519   0.0052086415
             60      2.6991004   0.0039051393      2.2796393   0.0032623825      3.2113953   0.0047801464
             70      2.2877607   0.0035935131      1.9290085   0.0030021484      2.7273382   0.0044032937
             80        1.96841   0.0033313412      1.6574015   0.0027799233       2.350781    0.004081326
             90      1.7041315   0.0031013648      1.4336379   0.0025887221      2.0369784   0.0038066759
            100      1.4853596   0.0028956819      1.2482058   0.0024126016          1.778   0.0035496175
            110      1.3032296   0.0027156264      1.0944008   0.0022636248       1.561182   0.0033356869
            120        1.15378   0.0025519121     0.96796693   0.0021272265      1.3838272   0.0031380898
            130      1.0240168   0.0024070769     0.85929111   0.0020199867      1.2276583   0.0030007128
            140     0.91011414   0.0022688727     0.76260516   0.0018874735      1.0932205   0.0027883364
            150     0.81844067   0.0021502863     0.68554262   0.0017908505     0.98358657   0.0026465373
            160     0.73492648   0.0020404211     0.61544785   0.0016965897     0.88339519   0.0025080952
            170     0.66807753   0.0019446148     0.55882572   0.0016161573     0.80429932   0.0023919711
            180     0.60375157   0.0018485719     0.50523779   0.0015375505     0.72638146     0.00227926
            190     0.54724295   0.0017626893     0.45760959   0.0014638333     0.65904174   0.0021722125
            200     0.49959914    0.001682287     0.41751243   0.0014004432     0.60217834   0.0020818591
            210     0.45393195   0.0016080081     0.37914611   0.0013335122     0.54754478   0.0019807109
            220     0.41494386   0.0015332223      0.3463529    0.001271575     0.50094764   0.0018882569
            230     0.38009127   0.0014697918     0.31732806   0.0012204227     0.45875974   0.0018153782
            240     0.34708783   0.0014067675     0.28968616   0.0011658112     0.41908322   0.0017329596
            250     0.32017066    0.001350054     0.26702972   0.0011182537     0.38695016   0.0016656091
            260      0.2952083   0.0012967235     0.24649551   0.0010816305       0.356257   0.0016122777
            270     0.27155462   0.0012438457     0.22631141   0.0010295144     0.32857637   0.0015348155
            280      0.2495541   0.0011956163     0.20800914  0.00099162668     0.30186998   0.0014809001
            290     0.23092272     0.00114641     0.19258027  0.00095006103     0.27913427   0.0014145972
