#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4    0.002106007  0.00091188217   0.0019018142  0.00077257383   0.0021772483  0.00098601373
           -3.8    0.021323321     0.00289561    0.018461159    0.002334179     0.02364724   0.0037490899
           -3.6     0.12829667   0.0064044399     0.10948439   0.0053419023     0.14771756   0.0080262069
           -3.4     0.52043284     0.01279688     0.44320352    0.010670128     0.60369253    0.015760626
           -3.2      1.5787713    0.021695071      1.3489321    0.018267268      1.8290367    0.026397459
             -3      3.8031129    0.033436437       3.254051    0.028295726      4.4104958    0.040413051
           -2.8      7.7701865    0.047426046      6.6623321    0.040240777      9.0098791    0.057077952
           -2.6      14.025963    0.063356498      12.032968    0.053955683      16.284538    0.076520778
           -2.4       22.68743    0.080492189      19.471253    0.068460393       26.37057    0.096402994
           -2.2      33.870993    0.098340362      29.071455    0.083608252       39.41862     0.11776278
             -2      47.692205     0.11657756      40.891813    0.099005791      55.640517      0.1399733
           -1.8      62.835054     0.13391838      53.825368     0.11361943      73.449861     0.16147841
           -1.6      79.654746     0.15077893      68.131845     0.12754745       93.34907     0.18163256
           -1.4      96.754697     0.16626297      82.685326     0.14058794      113.55124      0.2011093
           -1.2      113.73188     0.18034602      97.054117     0.15210007      133.74513     0.21845259
             -1      129.72062     0.19289899      110.62089     0.16287825      152.70699     0.23542308
           -0.8      143.70876     0.20339891      122.41349     0.17163636      169.41908     0.24904767
           -0.6      155.04012     0.21205934      131.99082     0.17791927      182.91449     0.25825489
           -0.4      163.35913     0.21855022      138.94131     0.18318567      192.97449     0.26696939
           -0.2      167.61478     0.22177982      142.54718     0.18589507      198.02578     0.27176302
              0      168.05653     0.22305925       142.8505     0.18643692      198.67891     0.27298695
            0.2      165.42036     0.22241025      140.62893      0.1857759      195.53828     0.27265595
            0.4      159.34652     0.21922852      135.44928     0.18306185      188.38744     0.26944332
            0.6      149.35291     0.21343639       126.9493     0.17804437      176.58345     0.26267973
            0.8      137.09634     0.20539486      116.51337     0.17103571      162.12408     0.25271353
              1      123.46688     0.19542823      104.96737     0.16555787      145.93522     0.24666131
            1.2      108.11012     0.18326259      91.806666     0.15242512      127.96178     0.22636978
            1.4      91.764929     0.16883642      77.841238     0.14076265      108.73385     0.21026944
            1.6      76.116238     0.15318288      64.398778     0.12722163      90.463329     0.19018989
            1.8      60.760558     0.13612295      51.240516     0.11292742       72.48791     0.16953718
              2      46.195095     0.11802159      38.770909    0.097571013      55.411855     0.14736534
            2.2      33.259514    0.099626979       27.77998    0.082459868      40.105236     0.12631705
            2.4      22.275193    0.080682238      18.470126    0.066248583      27.087626     0.10161935
            2.6      13.422848    0.063508062      11.045043    0.051670877      16.467276    0.080740635
            2.8      7.2532488    0.045595037      5.9095413    0.036968877       8.998917    0.058675122
              3      3.2726668    0.030442763      2.6395682    0.024592464      4.1072281     0.03970286
            3.2      1.2171921    0.018569102     0.96870351    0.014751275      1.5501792    0.024621897
            3.4     0.33882721   0.0097910987     0.26428243    0.007602772     0.44218779    0.013165927
            3.6    0.061863956   0.0041537676    0.048059088   0.0032237465    0.080933147   0.0055919833
            3.8   0.0068506078   0.0013940808   0.0054937804   0.0011563945   0.0085092318   0.0019322724
              4   0.0068506078   0.0013940808   0.0054937804   0.0011563945   0.0085092318   0.0019322724
