#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      23.437368    0.087005984      21.061915    0.076617197      25.421721    0.099411078
            0.2      65.673059     0.14468291      59.048741     0.13225681      71.192148     0.17675883
            0.4      97.010069      0.1747246      87.114622     0.15417727      105.39013     0.20115778
            0.6      117.03462     0.19208961      105.08886     0.16909737      127.19953     0.22107506
            0.8      128.55157     0.20042954       115.3988     0.17676062      139.81216     0.23122896
              1      135.17561     0.20582578      121.32559     0.18271048      147.07804     0.24182479
            1.2      139.62324     0.20886826      125.22725     0.18364532      152.10192     0.24020803
            1.4      143.97963     0.21212944      129.11945     0.18652524      156.90443     0.24427801
            1.6      149.54217     0.21641216      134.05994     0.19003586      163.07878     0.24932738
            1.8      157.74951     0.22217221      141.41769     0.19544803      172.05876      0.2572604
              2      169.59714     0.23017242      152.13067     0.20238401      184.83728     0.26647998
            2.2      184.78524     0.23998256      165.77866     0.21060783       201.4216     0.27674945
            2.4      205.02506     0.25250568       184.0332      0.2224928      223.33653     0.29442544
            2.6      229.99419     0.26713347      206.53453     0.23423286      250.39565      0.3089371
            2.8      258.43551     0.28251034      232.34121     0.24794025      280.85568     0.32747467
              3      253.14258     0.28061215      227.49025     0.24592777      275.15234     0.32592957
            3.2      87.656376      0.1712519      78.061791     0.14849154      96.202953     0.20170685
            3.4      34.817299     0.10993906      30.656682    0.094000605      38.690081       0.131519
            3.6      15.748853    0.074779385        13.7082    0.063206386      17.730884    0.090746949
            3.8      7.3624576    0.051838357      6.3389696    0.043190615      8.3925683    0.063613591
              4      3.6118889    0.036515629      3.0654814    0.030010158      4.1897571    0.045533363
            4.2      1.7159619    0.025441164      1.4422037    0.020752364       2.011713     0.03221774
            4.4      0.7999281    0.017492044     0.66659424    0.014096871     0.94605284    0.022274782
            4.6     0.38544654    0.012195331     0.31817804   0.0097547051     0.46068268    0.015786666
            4.8     0.19180641     0.00874022     0.15689029   0.0069105505     0.23130866    0.011409274
              5     0.19180641     0.00874022     0.15689029   0.0069105505     0.23130866    0.011409274
