#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.2932807    0.042899118      5.5588626    0.037845994      7.0710588     0.04921554
            0.2       17.98814    0.072664098      15.942336    0.064172487      20.108692    0.082763117
            0.4      28.556517    0.092075141      25.372866    0.081340492      31.794651     0.10496007
            0.6      38.055062     0.10706623      33.870801    0.094486613      42.249452     0.12232534
            0.8      47.215181     0.12007917      42.058516     0.10584443       52.32616     0.13759016
              1      55.792262     0.13130521      49.736606     0.11543906      61.734249     0.15042441
            1.2      65.272199     0.14267575      58.193135     0.12528679      72.172896     0.16400712
            1.4      76.203092     0.15464583      68.006453     0.13568772      84.082513     0.17775859
            1.6      90.211681     0.16856306      80.610348     0.14788652      99.292929     0.19388479
            1.8      109.61596     0.18566482      98.047451     0.16296391      120.39455     0.21359503
              2      136.36341     0.20684668      122.21115      0.1816568       149.2231     0.23783258
            2.2      175.53006     0.23344096      157.58125      0.2053749      191.44142     0.26853995
            2.4      231.61915     0.26639287      208.46025     0.23466519      251.43731     0.30589053
            2.6      310.34896     0.30538389      279.97531     0.26971033      335.34962     0.35279794
            2.8      410.20451     0.34683736      371.01766     0.30605853      441.02879     0.40018532
              3       456.6157       0.365917      413.07977     0.32407772      490.15601     0.42916491
            3.2      185.93679     0.24601637      165.72651     0.21476379      203.20847     0.29524865
            3.4       82.76195     0.16725867      72.571828     0.14274523      92.226729     0.20112275
            3.6      40.592237     0.11793299      35.085343    0.099288742      45.997216     0.14395365
            3.8      20.998578    0.085056258      17.901693    0.070886589      24.170755     0.10557141
              4      11.220641    0.062569573      9.4187881    0.051170699      13.148896    0.078281391
            4.2      6.2174273    0.047104719      5.1526828    0.038125984      7.3923349    0.059482521
            4.4      3.3565178    0.035146179      2.7448103    0.028037535      4.0490657    0.044839636
            4.6      1.8960008    0.026619203      1.5387558    0.021078773      2.3031316    0.034278245
            4.8      1.1190264    0.021310942      0.8940052    0.016576687      1.3859067    0.027932257
              5      1.1190264    0.021310942      0.8940052    0.016576687      1.3859067    0.027932257
