#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      8.9006976    0.051087959      7.4932073    0.042934096      10.544469    0.062122084
           -3.8      11.127068    0.056969864      9.3973512    0.048067056      13.131666    0.069037437
           -3.6      13.874455    0.063548502      11.756885    0.053748235      16.311101      0.0763504
           -3.4      17.302791    0.070875779      14.730101    0.060251449       20.22319    0.084715457
           -3.2      21.508204    0.078893712      18.368362    0.067286681      25.046812    0.094144325
             -3      26.624789     0.08773998       22.83864    0.075166498      30.831903     0.10421883
           -2.8      32.411726    0.096692908      27.875714    0.083050582      37.415393     0.11441888
           -2.6       39.62895     0.10685158      34.218955    0.092242855      45.516958     0.12630981
           -2.4      47.903291     0.11743944      41.512748     0.10194121      54.772258     0.13874527
           -2.2      57.398941     0.12844462      49.922109     0.11140069      65.322381     0.14980403
             -2      68.172209     0.14002472      59.521114     0.12192624        77.1961     0.16327717
           -1.8      79.961719     0.15153595       70.13117     0.13766655      90.006978     0.18831939
           -1.6      92.772544     0.16330241      81.655063     0.14313897      103.95419     0.18879684
           -1.4      104.88735      0.1736817      92.751272      0.1534647       116.7955     0.20159133
           -1.2      117.01198     0.18388314      103.89278     0.16240121       129.5783     0.21125335
             -1      128.09084      0.1936837      114.26774     0.17155717      140.94391     0.22234773
           -0.8      136.74635     0.20020515      122.48914     0.17766059      149.59937     0.22799136
           -0.6      142.91266     0.20532224      128.61902     0.18359123      155.29158      0.2356406
           -0.4      145.73247     0.20879361      131.67688     0.18613448      157.43585     0.23622885
           -0.2      144.83103     0.21002948      131.34968     0.18752644      155.57103      0.2378445
              0      140.38347     0.20943862      127.83171     0.18665215      149.83879     0.23672451
            0.2      133.01483     0.20667962      121.53065     0.18422537      141.17364     0.23467236
            0.4      123.72025     0.20230389      113.31328     0.17974553      130.74977     0.22982447
            0.6      112.57396     0.19602175       103.3149     0.17363033      118.50744     0.22373465
            0.8      100.56351     0.18802196      92.331658     0.16583199      105.70459      0.2151763
              1      88.290591     0.17864544      81.076644     0.15700908      92.701932     0.20533971
            1.2      76.201235      0.1683168      69.946807     0.14742878      79.975067     0.19495425
            1.4      65.318544     0.15742975      59.852993     0.13745317      68.686674      0.1834909
            1.6       55.04288     0.14583402      50.357678     0.12883836      57.966964     0.17676797
            1.8      45.860615     0.13446421      41.838603     0.11637537      48.466064      0.1579723
              2       38.35559     0.12355944      34.873449     0.10658196      40.707131     0.14583543
            2.2      31.286328     0.11249041      28.366047    0.096599342      33.326945     0.13309374
            2.4       25.88716     0.10248061      23.370198    0.087608849      27.734897     0.12159013
            2.6      21.041402    0.092689706      18.920091     0.07921309      22.663839     0.11129404
            2.8      17.055496    0.083553141       15.26059    0.070905437      18.496777    0.099939366
              3       13.84945    0.075450565      12.329372    0.063721144      15.122222    0.090623486
            3.2      11.095214    0.067722622      9.8517648    0.057089017      12.148009     0.08182468
            3.4      8.9359801    0.060846419      7.8878351    0.051068122      9.8650661    0.073632425
            3.6      7.1973254    0.054614391       6.320333    0.045618457      8.0002773    0.066502463
            3.8      5.7884495    0.048671865      5.0506166    0.040552434      6.4928878     0.05935528
              4      5.7884495    0.048671865      5.0506166    0.040552434      6.4928878     0.05935528
