#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      49.330335      0.1244322      43.412284     0.10795835      55.513099     0.14541305
            0.2      49.779291     0.12515245      43.844019     0.10866088      55.944904     0.14622964
            0.4      51.327472     0.12720373      45.292221     0.11065468      57.519817     0.14855069
            0.6      54.089876     0.13066781      47.766946      0.1136472      60.544979     0.15257084
            0.8      58.371555     0.13587571      51.625768     0.11824968      65.172352     0.15819504
              1       64.30203     0.14269114       56.96795     0.12423909      71.600851     0.16556537
            1.2      72.839927     0.15208069      64.648648     0.13259881      80.876969     0.17653245
            1.4      84.825479     0.16383483      75.403893     0.14297309      93.929928     0.18985591
            1.6      101.59611     0.17931413      90.497486       0.156675      112.11486     0.20763821
            1.8      125.79453     0.19920493      112.24357     0.17412507      138.39667     0.23004662
              2      160.39019     0.22413921      143.39505     0.19638671      175.82325     0.25928853
            2.2      209.48062     0.25454784      187.72088     0.22326137      228.65331     0.29406222
            2.4      280.30556     0.29178037      251.81305     0.25627406      304.54374     0.33726461
            2.6      374.92673     0.33324033      337.58083     0.29316162      405.54374     0.38682481
            2.8      482.66902     0.37357493      435.74737     0.33028707      519.47185     0.43892675
              3      391.15295     0.34291483      353.73467     0.30268789      419.60939     0.40263063
            3.2      391.15295     0.34291483      353.73467     0.30268789      419.60939     0.40263063
