#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      4.7663461    0.037547266      4.2914462     0.03362516      5.1548193    0.041914927
           -3.8      6.9773527    0.045323644      6.2819188    0.040639884      7.5474935     0.05030519
           -3.6       9.776935    0.053823043      8.8133295     0.04820868      10.557948    0.059760758
           -3.4      13.822876    0.063901406      12.439418    0.057206564      14.972371    0.071075895
           -3.2      18.999777    0.074825495      17.124863    0.067088723      20.533913    0.083291082
             -3      25.613851    0.086937068      23.078832    0.077960634      27.704311    0.097364751
           -2.8       33.82182    0.099834591      30.479764    0.091190605      36.586736     0.11703165
           -2.6      42.933694     0.11315488      38.638681     0.10100525      46.555612     0.12688029
           -2.4      53.306786     0.12533084      47.951535     0.11197766      57.859059     0.14029036
           -2.2      64.238262     0.13839663      57.758948     0.12348669      69.773995     0.15626711
             -2      74.994722     0.14868149      67.385752     0.13276452      81.547271     0.16787902
           -1.8      85.508053     0.15883624      76.758003     0.14139551      93.110777     0.17895072
           -1.6      94.519674     0.16734386      84.793482     0.14857315      103.00609     0.18865943
           -1.4      101.63596     0.17392653       91.10673     0.15419028      110.86348     0.19706404
           -1.2      107.20972     0.17915437      96.036473     0.15852076      117.03794     0.20356322
             -1      110.35121     0.18235611      98.800189     0.16129668      120.53628     0.20817145
           -0.8      111.82859     0.18434137      100.08607     0.16289833      122.18124     0.21148149
           -0.6      112.24288     0.18546613      100.43174     0.16356977      122.65198     0.21311492
           -0.4      112.06739     0.18630065      100.22761     0.16375157      122.52424     0.21404492
           -0.2      111.46837     0.18678442      99.669566     0.16393344      121.91125     0.21515772
              0       111.2918     0.18760192      99.515766     0.16449566      121.69591     0.21690699
            0.2      111.81826     0.18909343      100.02175     0.16571608      122.22644     0.21923475
            0.4       112.1036     0.19038534       100.3018     0.16794462       122.5064     0.22576062
            0.6      111.64477     0.19115398      99.934578     0.16687654      121.95455     0.22214232
            0.8      110.54763      0.1912511      98.963938     0.16695859      120.75632     0.22353375
              1      107.27689     0.18971167      96.142314      0.1657313      117.02041     0.22280627
            1.2       101.8204     0.18617652      91.295121     0.16202915      111.02505     0.21781453
            1.4      94.320587      0.1806727       84.65003     0.16085662      102.73572     0.22036916
            1.6      85.134815     0.17306568      76.460403     0.15050452       92.63767     0.20476071
            1.8      74.908485     0.16346445      67.330933     0.14194482      81.413104     0.19313586
              2      64.212472      0.1524627      57.745763     0.13234456      69.732094     0.18078365
            2.2      53.248391     0.13990643      47.902622     0.12089477       57.78328     0.16540401
            2.4      42.825245     0.12633701      38.559477     0.10920236      46.399316     0.15012558
            2.6      33.781673     0.11256984      30.413481    0.097136361      36.596614     0.13359496
            2.8      25.593971    0.098660797      23.079565     0.08515236      27.651053      0.1178219
              3      19.113288    0.085477392      17.220258    0.073607033      20.667956     0.10205779
            3.2      13.765021    0.074058175      12.399419    0.063393478      14.883645    0.088814506
            3.4      9.7607351    0.061666917      8.7971168    0.052914833      10.542854    0.073520468
            3.6      6.9425519    0.051811767      6.2545254    0.044603043      7.5020894    0.062141648
            3.8      4.8182022    0.043252315      4.3444501    0.037112438      5.1997651    0.051643826
              4      4.8182022    0.043252315      4.3444501    0.037112438      5.1997651    0.051643826
