#        etatop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      5.2264911    0.038994916      4.6116135    0.034364917       5.842438    0.044441048
           -3.8       7.591354    0.046775081      6.7034138    0.041322917      8.4752185    0.053237826
           -3.6      10.764696    0.055729623      9.5125779    0.049226904      12.007215    0.063198727
           -3.4      15.155425    0.066192957      13.422975    0.058794395      16.844719    0.076164003
           -3.2      20.926316    0.077683553      18.531493    0.068761933      23.259176    0.088337258
             -3      27.835474    0.089471078      24.653538     0.07916632      30.934865     0.10136512
           -2.8      36.477378     0.10232246      32.358963    0.091091441      40.448939     0.11698314
           -2.6      46.496258     0.11535982      41.301113     0.10241141      51.457163     0.13087437
           -2.4       57.34121     0.12804129      50.981465     0.11377664      63.366951     0.14517423
           -2.2      68.900003     0.14030208      61.308483     0.12454868      76.047257     0.15847943
             -2      80.065717     0.15116596      71.298908      0.1341995      88.258066     0.17068464
           -1.8      90.602835     0.16085595      80.751741     0.14292088       99.73529      0.1818127
           -1.6      99.804573      0.1699563      89.016563     0.15170675      109.72341     0.19588053
           -1.4      106.86071     0.17508675      95.370898     0.15545855      117.34611     0.19802103
           -1.2      111.63366     0.17944505      99.704162     0.15937778       122.4147     0.20353653
             -1      114.21734     0.18202187      102.09323     0.16183826      125.06178     0.20712773
           -0.8      114.83447     0.18337041      102.70314       0.162539      125.60511     0.20802913
           -0.6      114.66332     0.18403721      102.60848     0.16314239      125.28208      0.2095516
           -0.4      113.79125     0.18438582      101.87691      0.1632862      124.20966     0.21094568
           -0.2      112.97032     0.18483675      101.16862     0.16337892      123.24944     0.21145133
              0      112.76943     0.18577556       101.0002     0.16383019      123.02037     0.21256178
            0.2      112.36698     0.18688858      100.72975     0.16904636      122.40794     0.22529328
            0.4      112.91505     0.18864163      101.17687     0.16574292      123.10384     0.21731504
            0.6      112.06483     0.18962697      100.48789     0.16817369      122.06974     0.22488727
            0.8      110.35257     0.18998055      98.951806     0.16612224      120.23145     0.21996949
              1      106.21914     0.18852165      95.386208      0.1649835      115.47961     0.22091746
            1.2      100.09305     0.18535787      89.946333     0.16138238      108.73755     0.21621196
            1.4      92.113183       0.180588      82.885507     0.15673535      99.881705     0.21149561
            1.6      81.578994      0.1726937       73.55138     0.14966877      88.196021     0.20350584
            1.8      70.491102     0.16390679      63.732785     0.14160068      75.882184     0.19409865
              2      58.201004      0.1521704      52.808535     0.13117505      62.297743     0.18150251
            2.2      46.707765     0.13991568      42.527117     0.12005701      49.723957     0.16724283
            2.4      36.375941     0.12586731      33.260663     0.10769634      38.453029     0.15092732
            2.6      27.218907     0.11188555       25.01776    0.095262503      28.530908     0.13446198
            2.8      19.978462    0.098498154      18.486815    0.083719328      20.702074     0.11929701
              3      14.285952    0.084890049      13.300248    0.071987606      14.651977     0.10283849
            3.2      9.8142294    0.072519735      9.2109182    0.061368939      10.061838     0.07505544
            3.4      6.6577272     0.06131869      6.3065404    0.051764249      6.8168062    0.063497725
            3.6      4.5318649    0.051408199      4.3068179    0.043278822      4.6462191    0.053317709
            3.8      3.0729564    0.042894059      2.9356558    0.036167054       3.145633    0.044469327
              4      3.0729564    0.042894059      2.9356558    0.036167054       3.145633    0.044469327
