#   R_yHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      23.005747    0.083340492      20.678648    0.073326072      24.935496    0.095441885
            0.2      64.295953     0.13825986      57.787179     0.12181955      69.714823     0.15887808
            0.4      94.908159     0.16702636      85.302026     0.14768629      102.93373     0.19297827
            0.6      114.88217     0.18318877      103.18499      0.1618696       124.7525     0.21225412
            0.8      126.78615     0.19257174      113.78191     0.16949586      137.88376     0.22212596
              1      133.64028     0.19711298      119.86242     0.17359369      145.50655     0.22732081
            1.2      138.87471     0.20091339      124.48264     0.17650999       151.3643     0.23096771
            1.4      142.90823     0.20406272       128.1189     0.17932932      155.75301     0.23538906
            1.6      148.85171     0.20822899       133.3734     0.18371474      162.38611     0.24328813
            1.8      157.61566     0.21410786      141.21173     0.18825276      172.02117     0.24815145
              2      169.56938     0.22206556      151.93973     0.19504688      185.07319     0.25734717
            2.2      185.39934     0.23183291       166.1266      0.2041448      202.38474     0.27134472
            2.4      205.81956      0.2440197      184.51906     0.21409669      224.53903     0.28297932
            2.6       230.9347     0.25795049      207.20512      0.2265404      251.66146     0.29945888
            2.8      259.37812     0.27327099      232.82249     0.23925212      282.47078     0.31678502
              3      254.00828     0.27148039      228.06637     0.23763646      276.36812     0.31536398
            3.2      87.271608     0.16512493      77.644267     0.14294288      95.876968     0.19427468
            3.4       34.52114     0.10605393      30.337828    0.090463799       38.45225     0.12719043
            3.6      15.538387    0.072171978      13.515887    0.060855494      17.500543    0.087921079
            3.8      7.4177496       0.050272      6.3661037     0.04182111       8.493687    0.062114706
              4      3.5345797    0.035191613      3.0072686    0.028951588      4.0828745    0.044002686
            4.2      1.6993091    0.024256818      1.4270634    0.019742557       1.992902    0.030607988
            4.4     0.81555104    0.017106808     0.67978987    0.013773393     0.96489076    0.021868756
            4.6     0.39142299    0.011714927     0.32358127   0.0094284213     0.46695445    0.015011477
            4.8     0.18927923   0.0081562008     0.15353404   0.0064553557     0.23138607    0.010724008
              5     0.18927923   0.0081562008     0.15353404   0.0064553557     0.23138607    0.010724008
