#   dyHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      0.1687587   0.0085647502     0.14279152   0.0067931916     0.19317054    0.011149836
           -3.8     0.26718277    0.010744398     0.22753847   0.0086822118     0.30393841    0.013938214
           -3.6     0.49799213     0.01434115     0.42438382    0.011549455     0.56801992     0.01840005
           -3.4     0.85385716    0.018794877     0.73903739     0.01531333     0.95328859    0.023937198
           -3.2      1.4270519    0.024327752      1.2357957     0.01983019       1.597164     0.03056509
             -3      2.2901712    0.030402991      2.0076958    0.026220426      2.5252538    0.039962153
           -2.8      3.5700584    0.037988885       3.148787    0.031622073      3.9064639    0.046779267
           -2.6      5.6523879     0.04763603      5.0271747    0.039964778      6.1235164    0.058365902
           -2.4      8.5384006    0.058331689      7.6379074    0.049142189      9.1948982    0.070621086
           -2.2      13.052979    0.071243303      11.757172    0.061315789      13.936775    0.088180051
             -2       19.69315    0.086345354      17.795682    0.073893644      20.988454     0.10295722
           -1.8      28.900589       0.103322      26.193833    0.088858125      30.734031     0.12221449
           -1.6      42.300347     0.12295327      38.416057     0.10640085      44.953233      0.1443523
           -1.4      60.637635     0.14462949      55.104996     0.12611774      64.507845     0.16923363
           -1.2      85.342504     0.16857927      77.543652     0.14725021      90.955061      0.1958149
             -1      116.27708     0.19320929        105.534     0.16952594      124.29998     0.22409541
           -0.8      152.86647     0.21761633      138.49908      0.1912291      164.01881     0.25137998
           -0.6      192.43315     0.23971169      173.95803     0.21105064      207.29797     0.27648007
           -0.4      226.45057     0.25615181      204.30726     0.22548135      244.78115      0.2942481
           -0.2      249.35271     0.26561047       224.5467     0.23510396      270.34504     0.30883975
              0      254.05295     0.26584463      228.23952     0.23416033      276.47038     0.30485194
            0.2      239.56801     0.25707372      214.82099     0.22758761       261.4441     0.29903056
            0.4      211.37614     0.24110044      188.95001     0.21228867      231.73442     0.27682828
            0.6      176.00111     0.22091017      156.93025     0.19422776      193.63237     0.25454692
            0.8      139.84125      0.1964552      124.29115     0.17313099      154.49729       0.228131
              1      106.96472     0.17253861      94.691182     0.15118544      118.77881     0.20017854
            1.2      79.491627     0.14854859       70.06206     0.12986142      88.756517     0.17286186
            1.4      57.710619     0.12662772      50.611546     0.11073807      64.829137     0.14939989
            1.6      41.330107     0.10731662      36.051365    0.093088311      46.727269     0.12669024
            1.8      28.974551    0.090038767      25.085944    0.077499041      33.062037     0.10697018
              2      19.650793    0.074375229      16.913487    0.063496382      22.577274    0.088587822
            2.2       13.28526    0.061259957      11.354715    0.051969347      15.389168    0.073671466
            2.4      8.7363257    0.049803903      7.4091982    0.041885266      10.214012    0.060475801
            2.6      5.6297927    0.040070789      4.7455473    0.033523105      6.6246261    0.049020997
            2.8      3.6144554    0.032077776      3.0270259    0.026803837      4.2850533    0.040112973
              3      2.2078472    0.025230783      1.8332264    0.020771911      2.6442646    0.031413013
            3.2      1.3675487    0.019883117      1.1222548    0.016168539      1.6612668    0.025061833
            3.4     0.82723753    0.015336129     0.67652878    0.012491721      1.0077129    0.019367249
            3.6     0.46606163    0.011607954     0.38024326   0.0094092166     0.56809362    0.014759815
            3.8     0.26457581   0.0088184152     0.21506388   0.0071024932     0.32372101    0.011379815
              4     0.26457581   0.0088184152     0.21506388   0.0071024932     0.32372101    0.011379815
