#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.86449667   0.0015188465     0.76919855   0.0013514937     0.96329082   0.0017380465
            360      1.8589976   0.0022289404      1.6615396   0.0019729662      2.0548553   0.0025309107
            380      2.0558264   0.0023660229      1.8408057   0.0020898779      2.2629272   0.0026937591
            400      2.0435049   0.0023810394      1.8324925   0.0021018809      2.2413419    0.002720689
            420      1.9245924   0.0023315859      1.7272678   0.0020553758      2.1055302   0.0026662622
            440      1.7725715   0.0022555939       1.592419   0.0019874741      1.9338986   0.0025809452
            460      1.6070194   0.0021670465      1.4443976   0.0019070594      1.7499176    0.002483006
            480       1.449361   0.0020761683      1.3032117    0.001823234      1.5754332   0.0023806996
            500       1.294722   0.0019637561      1.1642456   0.0017257678      1.4057441    0.002250413
            520      1.1525568   0.0018649316      1.0367324   0.0016379234      1.2494759   0.0021418165
            540      1.0239176   0.0017647307     0.92137156   0.0015497628      1.1083029   0.0020273534
            560     0.91287583   0.0016722613     0.82093181   0.0014668935      0.9880685   0.0019229161
            580     0.80855723   0.0015794306     0.72708268    0.001384432     0.87435493   0.0018184688
            600      0.7180475   0.0014928757     0.64566258   0.0013082699     0.77590307   0.0017222652
            620     0.64146041   0.0014151216      0.5766896   0.0012479784     0.69261937   0.0016634239
            640     0.56803642   0.0013354796     0.51033613   0.0011680252     0.61351356   0.0015461291
            660      0.5054043   0.0012630661     0.45393789   0.0011077804      0.5456747    0.001476293
            680      0.4511932   0.0011944715     0.40523621   0.0010495111     0.48669092   0.0014086823
            700     0.40434487   0.0011341342     0.36280187  0.00099089648     0.43654726   0.0013268137
            720     0.36229207   0.0010747796     0.32505313  0.00093832619     0.39090095   0.0012596441
            740     0.32470702   0.0010180343     0.29102779  0.00088842397     0.35062969   0.0011979348
            760     0.29157549  0.00096718767     0.26136846   0.0008421444     0.31456524   0.0011375001
            780     0.26139385  0.00091722509     0.23390885   0.0007982783     0.28255964   0.0010824833
            800     0.23619579  0.00087281447     0.21122796  0.00075943974     0.25539454   0.0010354837
            820     0.21118062   0.0008287075     0.18913661  0.00072967832     0.22760758   0.0010145246
            840     0.19148254  0.00078859366     0.17096653  0.00068198949     0.20724029  0.00093400964
            860     0.17453026  0.00075212897     0.15572952  0.00065031224     0.18898486  0.00089599435
            880     0.15567367  0.00071222765     0.13871638  0.00061555029      0.1688068  0.00085154729
            900     0.14220028  0.00068104952     0.12663015  0.00058753779     0.15424006  0.00081418229
            920     0.12939685  0.00065152813     0.11519771  0.00056199607     0.14035133  0.00078246435
            940     0.11773794  0.00062032424     0.10478899  0.00056317097     0.12767447  0.00083629695
            960     0.10717592   0.0005920465    0.095307134   0.0005102279     0.11628906  0.00071685112
            980    0.097685459  0.00056637125    0.086552678  0.00048477183     0.10657725  0.00068186565
           1000    0.097685459  0.00056637125    0.086552678  0.00048477183     0.10657725  0.00068186565
