#         ytbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0007142885  0.00041237405  0.00070695736  0.00040818457  0.00072016902  0.00041579613
           -3.8    0.014773302   0.0019356313    0.014479666   0.0019013774    0.015008139   0.0019637257
           -3.6    0.099289045   0.0049931235    0.097417319   0.0049056134     0.10117507   0.0050862562
           -3.4     0.41083857    0.010184036     0.40378879    0.010033713     0.41928121    0.010381464
           -3.2      1.2334943    0.017605948      1.2135316    0.017348228      1.2592193    0.017957008
             -3      2.9829746    0.027110351      2.9346973    0.026695326      3.0460469     0.02767122
           -2.8      6.1940158    0.038963962      6.0926067    0.038362166      6.3239807    0.039766133
           -2.6      11.555901    0.053064394      11.367959    0.052245807      11.795894    0.054149875
           -2.4      19.043285    0.067730132      18.736072    0.066678225        19.4312     0.06909473
           -2.2      29.086598    0.083352755      28.620707    0.082063513      29.671689    0.085019072
             -2       41.57566    0.099233188      40.917189     0.09771246      42.396421      0.1011816
           -1.8      56.036062     0.11471458      55.156178     0.11297184      57.127003      0.1169366
           -1.6      71.765601     0.12924061      70.650879      0.1272899      73.139601     0.13171095
           -1.4      88.227431     0.14267876      86.871534     0.14054768      89.893178     0.14536526
           -1.2      104.78141     0.15486526      103.17518     0.15256003      106.74081     0.15775619
             -1      120.05136     0.16511524      118.22696     0.16267698      122.26457     0.16815956
           -0.8      133.61112     0.17358873      131.58821      0.1710279      136.05808     0.17676345
           -0.6      144.45596     0.18003185      142.27756      0.1773873      147.08206     0.18330292
           -0.4      152.45375     0.18460866      150.15729     0.18190041      155.21567     0.18794677
           -0.2      156.14158     0.18664652       153.7932     0.18391413      158.96426     0.19002188
              0      155.99117      0.1865951      153.64954     0.18386592      158.80183     0.18995566
            0.2      152.29138     0.18451426      149.99291     0.18181322      155.05399     0.18786184
            0.4      144.39609     0.17999404      142.21683     0.17736607      147.01925     0.18327344
            0.6      133.86227     0.17373689      131.82771     0.17116529      136.31743     0.17691987
            0.8      119.99426     0.16507757      118.16576      0.1626354      122.21109     0.16811924
              1      104.55319     0.15469369      102.95361     0.15239637      106.49821     0.15756016
            1.2      88.339429     0.14278777      86.975373     0.14064315      90.006697     0.14547398
            1.4      71.792526     0.12926208      70.672511     0.12731101      73.168632     0.13173688
            1.6      55.972346     0.11464561       55.10015     0.11290878       57.05062     0.11684521
            1.8      41.538519    0.099200799       40.88456    0.097686127      42.348036      0.1011314
              2       29.22213     0.08356561       28.75716    0.082281309      29.801587    0.085210468
            2.2      19.014446    0.067631177      18.711822    0.066600379      19.392408     0.06895723
            2.4      11.481942    0.052737896      11.299746    0.051933277      11.710815    0.053777308
            2.6      6.2763085    0.039200007      6.1778437    0.038617772      6.4004757    0.039958162
            2.8      2.9643567    0.027034043      2.9186935    0.026642653      3.0225538    0.027547784
              3      1.2164038    0.017641454      1.1981887     0.01739868      1.2401245    0.017969335
            3.2     0.39890582    0.010007006     0.39321303   0.0098781818     0.40654409    0.010187648
            3.4    0.092618134   0.0049217454      0.0912647   0.0048647713    0.094380352   0.0050031496
            3.6    0.014525048   0.0019489456     0.01425131   0.0019173402    0.014764626   0.0019765821
            3.8  0.00047619233  0.00047616854  0.00047112811  0.00047363891  0.00047894804  0.00047754713
              4  0.00047619233  0.00047616854  0.00047112811  0.00047363891  0.00047894804  0.00047754713
