# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8.2038519    0.044172564      7.3164753    0.039472268      8.9969527    0.048905464
            0.2      23.241935    0.074132015      20.717636    0.066171562      25.502075    0.082155341
            0.4      35.365887    0.091248771      31.512467    0.081464756      38.803859     0.10148273
            0.6      43.652708     0.10119016      38.871552    0.090278797      47.914373     0.11255898
            0.8       48.97803     0.10707792      43.570334    0.095394994      53.809435     0.11915675
              1      52.379034     0.11068498      46.622713    0.099374122      57.458241     0.12595125
            1.2      56.136115     0.11452081      49.951329     0.10223061      61.582246     0.12814312
            1.4      59.780956     0.11812027      53.194433     0.10535434      65.563775     0.13187225
            1.6      65.917675     0.12389168      58.682738     0.11043298      72.236715     0.13791244
            1.8      74.539569     0.13145573      66.405425     0.11727582      81.594455     0.14621949
              2      89.230212     0.14339852      79.589678     0.12824329      97.499535     0.15976062
            2.2      111.76831     0.15967249      99.843227     0.14290032      121.85958     0.17745221
            2.4      149.93774      0.1833047      134.14588     0.16449328      163.14271     0.20393314
            2.6      219.56814     0.21822533      196.87156     0.19601797      238.22438     0.24153608
            2.8      371.03505     0.27326151      334.05565     0.24649551      400.51602     0.30175796
              3      669.95737     0.33772999      609.96232     0.30844666      713.35672     0.37095746
            3.2      157.45629     0.18805601      143.69198     0.17215502      166.65802      0.2059656
            3.4       31.79646    0.087261779       28.98779    0.079553405      33.559256    0.095375273
            3.6      7.6447589    0.043148742      6.9843783    0.039389407      8.0093391    0.047042996
            3.8      1.8722016     0.02138267       1.728422     0.01973477      1.9251197    0.022142295
              4     0.49017759    0.010944066     0.45936809    0.010234827     0.50165631    0.011296499
            4.2     0.13429243   0.0057513124     0.12653137   0.0054117069     0.13722553   0.0059330651
            4.4    0.032145346    0.002807157    0.030369863   0.0028045504    0.032572253   0.0028488657
            4.6    0.013335749   0.0017819666    0.012447347   0.0017919305    0.013474353   0.0018061833
            4.8   0.0016666732  0.00062991177   0.0013847253  0.00054677236   0.0017237106  0.00065567466
              5   0.0016666732  0.00062991177   0.0013847253  0.00054677236   0.0017237106  0.00065567466
