#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       5.585589    0.036563439      4.9310008    0.032347666      6.2692162    0.041451865
            0.2      16.102791    0.061754816      14.326362    0.055106689        17.8687    0.069064892
            0.4      25.449355    0.077468696      22.715195    0.069328658      28.088975    0.086053618
            0.6      33.919053    0.089264515      30.358467    0.080107648      37.261918    0.098739486
            0.8      41.740037    0.098852487      37.413907    0.088845233      45.730979     0.10915371
              1      49.476392     0.10745179      44.375394    0.096615708      54.125204     0.11849118
            1.2      57.372367     0.11552815      51.497618     0.10397568      62.641429      0.1272685
            1.4      67.016541     0.12459391      60.191781     0.11220545      73.059494     0.13707319
            1.6      79.751851     0.13555401      71.659425     0.12209642      86.825358      0.1488976
            1.8      96.544146     0.14859901      86.848869     0.13398208       104.8464     0.16290714
              2      120.31351     0.16501302      108.38556     0.14904419      130.27164     0.18082944
            2.2      154.16734     0.18533674      139.15016     0.16809968      166.29443     0.20388007
            2.4      202.95538     0.21022109      183.57811     0.19112133       217.9855     0.23076481
            2.6      270.88114      0.2389582      245.59867     0.21729698      289.55662     0.26025632
            2.8      356.45225     0.26843177      323.92009     0.24452603       379.2377     0.29211299
              3      394.26181     0.27988236      358.20828     0.25493334      419.02941     0.30658074
            3.2      161.14749     0.19025746      143.97217     0.17058697      174.90507     0.21600245
            3.4      71.969812     0.13034745      63.144499     0.11414247      79.872205     0.15060628
            3.6      35.159484     0.09232618      30.356384    0.079340437      39.778662     0.10848468
            3.8       17.91057    0.066823915      15.271401    0.056561439      20.540419    0.080328017
              4      9.5595328    0.049627832      8.0460675    0.041369184      11.122803    0.060117757
            4.2      5.1847494    0.037514915      4.3204249    0.030836925      6.0930444    0.046126712
            4.4       2.798569      0.0283166      2.3077505     0.02303051      3.3260019    0.035305904
            4.6      1.5782411    0.022043732      1.2870083    0.017660786      1.8992592    0.027828563
            4.8     0.88891333    0.017129626     0.71897807    0.013580636      1.0781147    0.021853444
              5     0.88891333    0.017129626     0.71897807    0.013580636      1.0781147    0.021853444
