#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.9250108    0.030628421       3.557467    0.027847445      4.1917013    0.033401105
           -3.8      5.6312104    0.036679496      5.1077067    0.033345375      6.0079659    0.039790879
           -3.6       8.149143    0.044088808      7.3839671    0.040029117      8.7115579    0.047926945
           -3.4      11.341676    0.051965119      10.277775    0.047189937       12.12428    0.056393627
           -3.2      15.655891    0.061013748      14.184444    0.055407144      16.741888    0.066556051
             -3      21.255478    0.071011888      19.251128    0.064671004      22.752002    0.078253376
           -2.8      28.040449    0.081455224      25.383843    0.073873484      30.046554     0.08884796
           -2.6      35.960094    0.092060177      32.535975    0.083453079      38.574969     0.10027178
           -2.4      45.222648     0.10304097      40.900673     0.09347525      48.546303     0.11294233
           -2.2      54.830453     0.11320366      49.549158     0.10248416      58.939696     0.12362981
             -2      64.608611     0.12263884      58.332919     0.11094782      69.544113     0.13421988
           -1.8      73.783377     0.13077619      66.579641     0.11822989      79.479669     0.14334307
           -1.6      82.357812     0.13795307      74.221624     0.12451826      88.882213      0.1513891
           -1.4      88.975527     0.14325044      80.168888     0.12993271      96.013561     0.16014788
           -1.2      94.446126     0.14743806      85.004867     0.13287189      102.05792      0.1624215
             -1      97.972987     0.15007556      88.118414     0.13539773      105.94984     0.16652435
           -0.8      99.687345     0.15137082       89.58897     0.13615827      107.90834     0.16702477
           -0.6      100.10433     0.15172593      89.948845       0.136628      108.35011     0.16822395
           -0.4       100.1274     0.15174753       89.90837     0.13634538      108.47436     0.16767868
           -0.2      100.00614     0.15169755      89.798992     0.13629238      108.32819     0.16768632
              0      99.999406     0.15169816      89.798774     0.13637546      108.31233     0.16801537
            0.2      99.819728     0.15154045      89.643433     0.13642747      108.11841     0.16817226
            0.4      99.962767     0.15163155      89.816604     0.13665162      108.20775      0.1685099
            0.6      99.713016     0.15136755      89.616208     0.13614259      107.93235     0.16675418
            0.8      97.546229     0.14976756      87.759434     0.13533861      105.43471     0.16670476
              1      94.466774     0.14742965      85.034153     0.13295935      102.06422     0.16260644
            1.2       89.09082     0.14327946      80.262572      0.1294497      96.155596     0.15831487
            1.4      81.853929     0.13755332      73.820599     0.12435784       88.22372      0.1513295
            1.6      73.629429     0.13066894       66.44136     0.11818077       79.30698     0.14363212
            1.8      64.625242     0.12265093      58.350395     0.11108911      69.553923     0.13473375
              2      54.551941     0.11293813      49.321565      0.1023426       58.58966     0.12359636
            2.2      45.031369     0.10284185      40.743486     0.09333124      48.305273     0.11261956
            2.4      36.123361     0.09228075      32.702207    0.083720409      38.711176     0.10062493
            2.6      28.022898    0.081414138      25.381766    0.073962074      29.994777    0.089236616
            2.8      21.235854    0.070963634      19.228681    0.064418967      22.741088    0.077419138
              3      15.715504    0.061115665      14.234161    0.055522759      16.815793    0.066627689
            3.2        11.3266    0.051944841      10.253329    0.047124622      12.127475    0.056494109
            3.4      8.1183267    0.044018143      7.3637547    0.040073671      8.6603301    0.048031332
            3.6      5.6568845    0.036760914      5.1249233    0.033470409      6.0434669    0.040207613
            3.8      3.9421701    0.030688356      3.5717996     0.02786134      4.2121851    0.033361063
              4      3.9421701    0.030688356      3.5717996     0.02786134      4.2121851    0.033361063
