#         pttop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.18505376  0.00094051854     0.16588335  0.00084441456     0.20274816   0.0010442808
             10     0.53882529   0.0015976194     0.48237403   0.0014330487     0.59147592   0.0017721709
             20     0.87441713   0.0020263929     0.78293311   0.0018218329     0.95956317   0.0022568469
             30      1.1781233   0.0023434577      1.0543061    0.002102086       1.293529   0.0025950657
             40      1.4472145   0.0025903315      1.2954771   0.0023230239      1.5877433   0.0028662586
             50      1.6820305   0.0027843162      1.5062146   0.0024980103      1.8436297   0.0030772447
             60      1.8646759   0.0029255318        1.67004   0.0026251526       2.042429   0.0032308209
             70      2.0003407   0.0030251441       1.792011   0.0027166621      2.1889491   0.0033431588
             80      2.0986356   0.0030955127      1.8808613   0.0027812783      2.2936199   0.0034185095
             90       2.148437   0.0031300894      1.9265417   0.0028119784      2.3447137   0.0034460599
            100      2.1598784   0.0031375728      1.9380992   0.0028226349      2.3534623   0.0034545044
            110      2.1385261   0.0031223903      1.9204689   0.0028093773        2.32575   0.0034279316
            120      2.0895878   0.0030886491      1.8774597   0.0027797883      2.2691576    0.003386344
            130      2.0111698   0.0030331942      1.8082067   0.0027414141      2.1803607   0.0033589516
            140      1.9285589   0.0029731424       1.734749   0.0026797564      2.0881085   0.0032563697
            150      1.8297166   0.0028997596      1.6466765   0.0026153142      1.9780046   0.0031767976
            160      1.7139867   0.0028100963      1.5436068   0.0025355004      1.8498098    0.003068676
            170      1.5939605   0.0027136947      1.4364182   0.0024503778      1.7173301   0.0029645962
            180      1.4834939   0.0026223109      1.3381974   0.0023729698      1.5948066   0.0028802184
            190      1.3633968   0.0025171716      1.2305361   0.0022772926      1.4633947   0.0027517969
            200      1.2566326   0.0024201517      1.1346901   0.0021908568      1.3469933   0.0026460364
            210      1.1519368    0.002319918      1.0407589   0.0021022507      1.2329865   0.0025376869
            220      1.0488229   0.0022162551     0.94835791   0.0020116889      1.1203149    0.002430012
            230     0.95414361   0.0021171107     0.86314218   0.0019198853      1.0179653   0.0023146826
            240     0.86503537   0.0020187578     0.78300435     0.00183287     0.92153323   0.0022128735
            250     0.78114318   0.0019212485     0.70761794   0.0017455865     0.83056864   0.0021126356
            260       0.708861   0.0018317665     0.64234345   0.0016613996     0.75299074   0.0019970271
            270     0.63835396   0.0017396911     0.57895905   0.0015812582     0.67679405    0.001905068
            280     0.57798453   0.0016574891      0.5244588   0.0015052455     0.61189197   0.0018102315
            290     0.51953895   0.0015726739     0.47204018   0.0014348219     0.54866668   0.0017397563
            300     0.46881972   0.0014953465      0.4257624   0.0013594668     0.49521338   0.0016382932
            310     0.42054151   0.0014179936     0.38228942    0.001290677     0.44328827   0.0015597397
            320     0.37996372   0.0013490504     0.34550141   0.0012268843     0.40017326   0.0014792874
            330     0.33850367   0.0012746035     0.30816542   0.0011604741     0.35559903   0.0014047857
            340     0.30561186   0.0012123922     0.27793165   0.0011009586     0.32156128   0.0013319159
            350     0.27350543   0.0011478417     0.24926061   0.0010464737     0.28656045   0.0012652814
            360     0.24774254   0.0010933311     0.22591906  0.00099493405     0.25920371   0.0012014511
            370     0.22277087   0.0010382662     0.20341796  0.00094756623     0.23246464   0.0011551309
            380     0.19915936  0.00098213387     0.18169167  0.00089650217     0.20808781   0.0010877496
            390      0.1797685  0.00093361417     0.16426057  0.00085057653     0.18721849   0.0010246572
            400     0.16214495  0.00088776009      0.1483151     0.00081772     0.16855195   0.0010067203
            410     0.14487611  0.00084050668     0.13262383  0.00076795055     0.15029665  0.00094518509
            420       0.130868  0.00079820633     0.11961691   0.0007285998     0.13609639  0.00088771385
            430     0.11993975  0.00076468385     0.10961439  0.00069690167     0.12465313  0.00084970951
            440     0.10606354  0.00071955306    0.097161137  0.00065689814     0.10982769   0.0007725495
            450    0.095485557  0.00068397717    0.087477433  0.00062400957    0.098806173   0.0007379915
            460    0.086829779  0.00065320095    0.079738477  0.00062482582    0.089532137  0.00074466306
            470    0.078169575  0.00061963817     0.07173182  0.00056633677    0.080694582  0.00067141014
            480    0.070475155  0.00058974048    0.064803295  0.00056864245    0.072661235  0.00065789554
            490    0.064359172  0.00056337246    0.058986585  0.00051155762    0.066492543  0.00060438885
            500    0.058252942  0.00053637764    0.053489251  0.00048985285    0.060041061  0.00057778432
            510     0.05312832  0.00051331622    0.048732445  0.00046553469    0.054820687  0.00055117343
            520    0.048479103  0.00049028235    0.044660833  0.00044836693     0.04974555  0.00053160012
            530    0.043189899  0.00046532842    0.039838432  0.00042375298    0.044263151   0.0005019977
            540    0.038845831  0.00044079982     0.03581717   0.0004040296     0.03990315  0.00047986157
            550    0.035268814  0.00041999587    0.032410642  0.00038015557    0.036320729  0.00045210179
            560    0.032789519  0.00040529352    0.030145887  0.00036627994     0.03371698  0.00043661996
            570    0.028684445  0.00038197483    0.026606672  0.00034746536    0.029249495  0.00039812638
            580    0.026567355  0.00036660858    0.024551703  0.00033499289    0.027167933  0.00040057891
            590    0.023769178  0.00034722454    0.021947843  0.00031521438    0.024326894  0.00037576546
            600    0.021720585  0.00033256388    0.020132497  0.00030222559    0.022124669  0.00036208539
            610    0.020135703   0.0003190275    0.018609718  0.00029012626    0.020606496  0.00034496026
            620    0.018615191  0.00030723968    0.017242436  0.00028013886      0.0189945   0.0003343374
            630     0.01696413  0.00029430708    0.015932461  0.00035148958    0.017185221  0.00031474277
            640     0.01472756  0.00027541524    0.013697639  0.00025261086      0.0149698  0.00028727926
            650    0.013806174  0.00026680205     0.01278539   0.0002403955    0.014081178  0.00029101288
            660    0.013281102  0.00026069521    0.012235068  0.00023475038    0.013623762  0.00028051396
            670    0.011157796  0.00024115497    0.010504993  0.00025059811    0.011294435  0.00025418541
            680    0.010716382  0.00023526975   0.0099221384  0.00021215204     0.01094123  0.00025422437
            690   0.0096550483   0.0002260522   0.0089804736  0.00020217062   0.0098244596  0.00023695856
            700   0.0087463579  0.00021407443    0.008124715  0.00019305289   0.0089052452  0.00022361908
            710   0.0083510125  0.00020961434   0.0077715325  0.00018888899   0.0084834213  0.00021960797
            720   0.0076389937  0.00019988266   0.0071756618  0.00018338356   0.0077047613  0.00020974136
            730   0.0070796539  0.00019396501   0.0067294421  0.00020213203   0.0071225566  0.00020964983
            740   0.0062761617  0.00018275822   0.0058974463  0.00016644323   0.0063471686  0.00019137375
            750   0.0060862003  0.00017854938   0.0057171012  0.00016412722   0.0061635633   0.0001860884
            760   0.0050818374  0.00016407267   0.0047931135  0.00015875653   0.0051314814  0.00017258917
            770   0.0051192236   0.0001621033   0.0047290263  0.00014601906   0.0052240457  0.00016881619
            780   0.0044619695  0.00015407072   0.0041523947   0.0001377289   0.0045377974  0.00016130699
            790   0.0041445318  0.00014801974   0.0038665228  0.00013393432   0.0042149338  0.00015422227
            800   0.0041445318  0.00014801974   0.0038665228  0.00013393432   0.0042149338  0.00015422227
