#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.3900056    0.028611948      3.2701952    0.027660452      3.5268366    0.029810244
            0.2      9.8721551    0.048698921      9.5377423    0.047118836      10.314437    0.050938511
            0.4      16.241714    0.062381021      15.685323    0.060454186      17.007186    0.065373778
            0.6       22.38451    0.073155457       21.63168    0.070748191      23.474111    0.076764405
            0.8      28.862466    0.082937561      27.878056    0.080153806      30.281392     0.08707107
              1      35.635285    0.092042736      34.415584    0.088951036       37.37581    0.096584193
            1.2      43.263249     0.10125226      41.789557    0.097857969      45.355262     0.10619471
            1.4      52.537057      0.1113498      50.786535     0.10769003      55.005257     0.11663096
            1.6      64.719302      0.1232694      62.619391     0.11932841      67.661027      0.1289202
            1.8      80.846429     0.13728637      78.325958     0.13306914      84.343502     0.14327045
              2      103.22861     0.15436993      100.18769     0.14989865      107.42974     0.16069412
            2.2      135.38709     0.17551443      131.66923     0.17082717      140.52528      0.1825314
            2.4      180.98441     0.20082433      176.43542     0.19585792      187.28975     0.20784899
            2.6      245.56261     0.23044145      240.01629     0.22533219      253.30655     0.23771569
            2.8      328.81409     0.26142719      322.25011     0.25633163      338.07371     0.26877138
              3      379.22251     0.27747298      372.22494     0.27249903      389.10389     0.28465211
            3.2      198.05978     0.21006685      193.64685     0.20555364      204.05909     0.21634811
            3.4      118.48375     0.16572663      115.57203     0.16180935      122.40771      0.1711375
            3.6      77.557536     0.13547055      75.548107     0.13215845      80.267896     0.14014112
            3.8      52.763846     0.11240531      51.359733     0.10952436      54.672402     0.11640781
              4      36.804898    0.094379164      35.797213    0.091901068      38.180367    0.097839209
            4.2      26.025453    0.079671305       25.29648    0.077533013      27.028164    0.082680585
            4.4      18.489544    0.067394891      17.964439    0.065560124      19.222534    0.070015482
            4.6      13.355788    0.057553986      12.972183    0.055978702      13.896665    0.059824804
            4.8      9.6203722    0.048976735      9.3395254    0.047629408      10.022413    0.050994838
              5      9.6203722    0.048976735      9.3395254    0.047629408      10.022413    0.050994838
