# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8.3084161    0.044730656      8.1698154     0.04399348      8.5014311    0.045774414
            0.2       23.67884    0.075281289      23.284611    0.074046452      24.232332      0.0770445
            0.4      35.864913    0.092426574      35.256522    0.090882585      36.719421    0.094631088
            0.6      44.209614     0.10245345       43.44934     0.10071991       45.27973     0.10493426
            0.8      49.713705     0.10852228      48.839819     0.10664595       50.94329     0.11120633
              1      53.155239     0.11216959      52.188361     0.11022802      54.512293     0.11506616
            1.2      56.580217     0.11567684      55.514197     0.11354164      58.068368      0.1187195
            1.4      60.949006     0.11997112      59.753448     0.11766002      62.606426     0.12323388
            1.6      66.731853     0.12539597      65.368796     0.12289262      68.605006     0.12891513
            1.8      75.994833     0.13351598      74.384462     0.13074159      78.195848      0.1373797
              2      90.632451     0.14537096       88.63942     0.14223722      93.336796     0.14970428
            2.2      113.59831     0.16190949      111.01346     0.15830106      117.08757     0.16687666
            2.4      152.29269     0.18585376      148.70267     0.18158472      157.12576      0.1917395
            2.6      223.11716     0.22131897      217.65279     0.21602963      230.48907     0.22861737
            2.8      375.96729     0.27668253      366.20316        0.26971      389.23803     0.28663291
              3      676.02334     0.34156042      656.92824     0.33225362      703.09483      0.3552215
            3.2        158.553     0.18986815      154.45909     0.18517041      164.62218     0.19709942
            3.4      31.958898    0.088051581      31.207855     0.08607168      33.124575    0.091218112
            3.6      7.6671733    0.043486654      7.4747239    0.042592479      7.9469824    0.045038269
            3.8      1.8923568     0.02165848      1.8361299    0.021138362      1.9638155    0.022457293
              4     0.48813493     0.01099044      0.4719561    0.010668235     0.50723118    0.011405381
            4.2      0.1328145   0.0057442614     0.12566673   0.0055199519     0.13826543   0.0059763697
            4.4    0.038791642   0.0030947824     0.03687404   0.0029584593    0.040414196   0.0032206999
            4.6    0.010841673    0.001616094    0.010118193   0.0015188687    0.011274413   0.0016815795
            4.8   0.0016867334  0.00063749345   0.0015916389  0.00060418686    0.001730229  0.00065467152
              5   0.0016867334  0.00063749345   0.0015916389  0.00060418686    0.001730229  0.00065467152
