#    masst+tbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0              0              0              0              0              0              0
             20              0              0              0              0              0              0
             40              0              0              0              0              0              0
             60              0              0              0              0              0              0
             80              0              0              0              0              0              0
            100              0              0              0              0              0              0
            120              0              0              0              0              0              0
            140              0              0              0              0              0              0
            160              0              0              0              0              0              0
            180              0              0              0              0              0              0
            200              0              0              0              0              0              0
            220              0              0              0              0              0              0
            240              0              0              0              0              0              0
            260              0              0              0              0              0              0
            280              0              0              0              0              0              0
            300              0              0              0              0              0              0
            320              0              0              0              0              0              0
            340     0.67684789    0.001259563     0.65029921   0.0012118506     0.70409461   0.0013116934
            360      1.6332394   0.0019138668      1.5839533   0.0018598141      1.6990602   0.0019920649
            380      1.8337938   0.0020184967      1.7906591   0.0019715143      1.9061101   0.0020989662
            400      1.8278254   0.0020155032      1.7823932   0.0019658501      1.8986071   0.0020942309
            420      1.7296708   0.0019650699      1.6851458   0.0019149738      1.7956193   0.0020406317
            440      1.5947127   0.0018928856      1.5528433   0.0018439363      1.6543498   0.0019669757
            460       1.449998   0.0018110894      1.4115379    0.001763609      1.5031066   0.0018778421
            480      1.3036052   0.0017232245      1.2689424    0.001677905      1.3503382   0.0017853381
            500      1.1659693    0.001635031      1.1350062   0.0015921316      1.2068834   0.0016927157
            520      1.0381493   0.0015475041      1.0106604   0.0015070283       1.073784   0.0016008399
            540     0.92449258   0.0014643971     0.90021616   0.0014264831     0.95549841   0.0015137268
            560     0.81871539   0.0013816595     0.79743857   0.0013462723      0.8455119   0.0014269764
            580     0.72811143   0.0013058537      0.7093892   0.0012728924     0.75142746    0.001347676
            600     0.64528814   0.0012320967         0.6289   0.0012013638     0.66545783   0.0012706012
            620     0.57269264   0.0011630034     0.55825494   0.0011348207     0.59028454   0.0011989136
            640     0.50990481   0.0010994231     0.49729801   0.0010729704     0.52514551   0.0011321558
            660     0.45272186   0.0010377739     0.44160304   0.0010131776     0.46601622   0.0010680202
            680     0.40373319  0.00098127588      0.3939979   0.0009584098     0.41527337   0.0010090229
            700     0.35960174  0.00092762378     0.35103122  0.00090634841     0.36967634  0.00095321409
            720     0.32049996  0.00087705822     0.31291984  0.00085792428     0.32934051  0.00090109471
            740     0.28839156  0.00083309445     0.28169677  0.00081461951     0.29613724  0.00085498701
            760      0.2566717  0.00078677296     0.25079809  0.00076961384      0.2634284  0.00080703323
            780     0.22936255  0.00074484541      0.2241708  0.00072894249     0.23528504  0.00076362848
            800     0.20775041  0.00070980143     0.20312689  0.00069481276     0.21299385  0.00072719844
            820     0.18410053  0.00066916578     0.18001896  0.00065535127     0.18870483  0.00068536301
            840     0.16837124  0.00064066218     0.16469331  0.00062753378     0.17249033  0.00065575674
            860     0.15122583  0.00060826497     0.14793732  0.00059602526     0.15488331  0.00062223513
            880     0.13567049  0.00057627738     0.13276445  0.00056500888     0.13888419  0.00058932563
            900      0.1227639  0.00054975069     0.12015472  0.00053924395      0.1256305  0.00056179263
            920     0.11068903  0.00052250427     0.10836159  0.00051248613     0.11323878  0.00053382367
            940     0.10103873  0.00049993877    0.098930455  0.00049043392     0.10334307  0.00051061835
            960    0.091390878  0.00047611398    0.089478346  0.00046724816    0.093465169  0.00048615805
            980    0.083888656  0.00045649462    0.082167331  0.00044799324    0.085749522  0.00046594608
           1000    0.083888656  0.00045649462    0.082167331  0.00044799324    0.085749522  0.00046594608
