# detaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.6387995    0.030052607      3.1925828    0.026308001      4.0600544     0.03436241
           -3.8      4.7240336    0.034217319      4.1471416     0.02996273      5.2672536    0.039070764
           -3.6      6.2848382    0.039336503      5.5279994    0.034579276      6.9908719    0.044634115
           -3.4      8.1379485    0.044734479      7.1728304    0.039463256      9.0290904    0.050942991
           -3.2      10.524521    0.050831854      9.2921826    0.044817342       11.65377     0.05745262
             -3      13.394556    0.057132979      11.878208     0.05068169       14.74179    0.064466355
           -2.8      17.237967    0.064816521       15.31133    0.057811366      18.938121    0.073665988
           -2.6      21.839246    0.072694625      19.425544    0.064719737      23.959057    0.081305685
           -2.4      27.553782    0.081524181      24.580827     0.07340436      30.103198    0.093453069
           -2.2      34.250055    0.090667078      30.612145    0.081135515      37.340072     0.10091832
             -2      42.555262     0.10082283      38.115444    0.091075611      46.274514     0.11377691
           -1.8      52.733007     0.11186567       47.29084     0.10047634      57.262898     0.12370833
           -1.6       64.32473      0.1231897      57.769846     0.11084787      69.732121     0.13605376
           -1.4      77.358057     0.13467611       69.57172     0.12147583      83.703406      0.1492598
           -1.2      91.829466     0.14618746      82.627824     0.13173399      99.335293     0.16047071
             -1      107.35815     0.15752243      96.730099     0.14258691       115.9155     0.17447931
           -0.8      122.58844     0.16776104      110.54103     0.15428863      132.21669     0.19149081
           -0.6      136.25661     0.17631501      122.86318     0.15933024      146.99015     0.19378842
           -0.4      146.93292     0.18268478      132.50582     0.16502514      158.47294     0.20049136
           -0.2      153.15975     0.18627049      138.12275     0.16826177      165.18233     0.20450469
              0      153.13458     0.18626201      138.12778     0.16875664      165.10284     0.20609914
            0.2      146.87679     0.18263673      132.44393     0.16500166      158.43119     0.20058457
            0.4      136.21137     0.17629393      122.79427     0.15923363      146.98884     0.19371001
            0.6      122.49763     0.16769875       110.3726     0.15158949      132.28963      0.1849328
            0.8      107.44572      0.1575985      96.826788      0.1449043      115.97267     0.18228615
              1      91.885416      0.1462523      82.705524     0.13201972      99.339239     0.16142231
            1.2      77.398755     0.13470322      69.569045     0.12134204      83.834806     0.14889384
            1.4      64.272151     0.12312247      57.706782     0.11113836      69.696616     0.13766626
            1.6      52.680218     0.11180345      47.239955     0.10067107      57.204928     0.12451395
            1.8      42.713449     0.10097431      38.216759    0.090404412      46.523282     0.11187092
              2       34.63424    0.091129716       30.93267    0.081481853       37.80057     0.10141273
            2.2      27.592896    0.081541564      24.588167    0.072935322      30.202185    0.091845065
            2.4      21.864024    0.072809515      19.433945    0.064973313      24.010341    0.082520704
            2.6      17.304199    0.064857961       15.34872    0.057547362      19.052948    0.073144029
            2.8      13.603432    0.057624892      12.034756    0.050973583      15.028228    0.064988626
              3      10.520884     0.05073411      9.2818668    0.044763172      11.667494    0.057358399
            3.2      8.2061591    0.045010704      7.2242417     0.03955505      9.1244512    0.051111832
            3.4      6.2601081    0.039336026      5.4913994    0.034446573      6.9931764    0.044896362
            3.6      4.8321365    0.034543789      4.2313815    0.030287247      5.4080236    0.039828859
            3.8      3.7191507    0.030516138      3.2484949    0.026610013      4.1782568    0.035206635
              4      3.7191507    0.030516138      3.2484949    0.026610013      4.1782568    0.035206635
